n,url,label,description
20,"allahin-insani-ilk-yarattigi-andan-itibaren-o-kisinin-ahiret-gununde-cennetcehenneme-gidecegini-bilir-olmasi-mantiksizdir?partial=28545&level=0","Bir balıkçı, denizden balığı alır ve onu bir teste tabi tutmak ister.Balığa, çölde 1 gün geçirmesi halinde sonsuz ödül, aksi halde sonsuz ceza olduğunu söyler.Balık cahil olduğu için evet der.Balıkçı, balığın bu testi geçemeyeceğini zaten bilmektedir.Balıkçıyı Allah, balığı insan olarak düşününüz.",""
21,"allahin-insani-ilk-yarattigi-andan-itibaren-o-kisinin-ahiret-gununde-cennetcehenneme-gidecegini-bilir-olmasi-mantiksizdir?partial=28568&level=0","Mantıksız olması için bir çelişki bulunmalıdır ve tanımsız bir ifadenin bulunduğu denklemde çelişki bulunamaz, çünkü ifadelerin denkliği bilinmemektedir.",""
22,"allahin-insani-ilk-yarattigi-andan-itibaren-o-kisinin-ahiret-gununde-cennetcehenneme-gidecegini-bilir-olmasi-mantiksizdir?partial=31009&level=0","Allah insanın kaderini bilir. Kader denilen şey ise yapılan seçimlerdir. Bir RPG oyun ya da 'Kelebek Etkisi' filmindeki gibidir. Karşılaştığımız yol ayrımlarında yaptığımız seçimler hayatımızı oluşturur. Allah, bu yolların nereye çıktığını bilir. Seçimi insanın kendisine bırakmıştır.",""
23,"allahin-insani-ilk-yarattigi-andan-itibaren-o-kisinin-ahiret-gununde-cennetcehenneme-gidecegini-bilir-olmasi-mantiksizdir?partial=33637&level=0","Tanrı test sonucunu biliyor, ve testi buna rağmen yapıyor ise burada bir çelişki değil, anlaşılmayan vardır. Bu bir şeyi mantıksız yapmaz, gizemli yapar. Net bir çelişki tespit edilemediği sürece, objektif bir mantıksızlıktan bahsedilemez.",""
24,"allahin-insani-ilk-yarattigi-andan-itibaren-o-kisinin-ahiret-gununde-cennetcehenneme-gidecegini-bilir-olmasi-mantiksizdir?partial=33644&level=0","Semavi Tanrı yarattıklarından münezzehtir. Dolayısıyla yaratılanlar benzetme, örneklemdirme üzerinden yürütülecek bir argüman 'Composition fallacy' kadar hatalı olacaktır.",""
25,"arac-kullanirken-sigara-icmek-cezalandirilmalidir?partial=33536&level=0","Kişisel alan, toplumsal alanla kesişir. Kaza riski artmaktadır. + Özellikle toplu taşımada rahatsız edici olması sebebiyle de 🚫 olmalı.",""
26,"arac-kullanirken-sigara-icmek-cezalandirilmalidir?partial=33538&level=0","aynı derecede kaza riski taşıyan klima tertibatı veya radyo kullanımı yasalarla kısıtlanmamıştır.",""
27,"argumanda-safsata-tipleri-ve-aciklamalari-cesitlendirilmelidir?partial=33540&level=0","Platformda, bir argüman için öne sürülen önermenin tipi belirlemek kadar, önermenin ulaşıldığı mantık düzlemini kurmak da önemlidir. Kullanıcılar, safsataları benimsemesi ve farkında olarak kullanabilmesi için safsata bildirimi daha işlevsel hale getirilmelidir.",""
28,"bilinc-zeka-icin-gereksiz-bir-yetidir?partial=33522&level=0","Bir zekanın, problemleri çözmek ve yeni yöntemler keşfetmek için kendi farkındalığına gerek yoktur. Bilinç çoğu durumda zekayı yavaşlatan, hatta yeni problemlerin oluşmasına sebep olan gereksiz bir yetidir.",""
29,"bir-fikir-iscisinin-dusmani-hemfikirleridir?partial=32775&level=0","kaleyi içeriden fethetmek daha kolaydır. Bir fikri kolay şekilde yıkmak, ona saldırmaktan ziyade onun gibi görünüp çarpıtmakla olur. Fikir işçisinin düşmanı fikrin açığını bulmaya çalışanlar değil, fikri benimsemeden savunmaya çalışan veya onu kasıtlı olarak çarpıtmaya çalışan hemfikirleridir.",""
30,"bir-fikir-iscisinin-dusmani-hemfikirleridir?partial=32777&level=0","bir fikir işçisinin gerçek düşmanı kendisidir",""
31,"bir-fikir-iscisinin-dusmani-hemfikirleridir?partial=32787&level=0","'bence' fikir dediğimiz şey, ezberbozmaktır (Disruption). yani iki veya daha fazla fikir arasında olağan dışı bir bağlantı kurmaktır. Olaya birde bu açıdan bakacak olursak eğer hemfikir de bir donedir.",""
32,"bir-fikir-iscisinin-dusmani-hemfikirleridir?partial=33453&level=0","Duran cisim düşer. Bu yüzden sürekli aynı görüşlerle beslenen fikir işçisi zamanla fikir çizgisindeki hızını kaybedecektir. Fakat zıt fikirler ile beslenirse ancak o zaman düşünmeye ve üretmeye devam edecektir.",""
33,"depresyon-icedonuk-safsatalarin-sonucudur?partial=33520&level=0","Depresyondaki bir insan, kendi düşüncelerini çarpıtarak mantığa aykırı sonuçlara ulaşır. Aslında bu insan safsata yapmaktadır.",""
34,"devlet-sisteme-giren-paranin-kaynagini-sorgulamamalidir?partial=33631&level=0","Para, devlet içerisindeki oluşabilecek usulsüzlüğün temel kaynağıdır. Devlet hiyerarşisine ve barış ortamına zarar verme ihtimali olan oluşumlara para akışının çıkış kaynağı izlenerek ulaşılabilir. Devlet temel görevlerini yerine getirebilmek adına sistemdeki tüm parayı izlemelidir.",""
35,"fotograf-makinelerinin-kaydedebildigi-gerceklikte-realist-cizimler-yapmak-korkunc-bir-emek-israfidir?partial=31554&level=0","Sanatçı realist resimler yaparken bu eserlerin altında görünenin ötesinde bir anlam yaratırsa, yani bu tekniği lehine kullanırsa, bir şeyi realist olarak resmetmek yalnızca bir tekniktir, bunun üzerine 'korkunç' emek harcamak sanatçının seçimidir.",""
36,"fotograf-makinelerinin-kaydedebildigi-gerceklikte-realist-cizimler-yapmak-korkunc-bir-emek-israfidir?partial=32909&level=0","Tam olarak 'realist' bir çizim zaten yapılamaz. Her çizim kendi içerisinde çeşitli özgünlüklere sahiptir.",""
37,"fotograf-makinelerinin-kaydedebildigi-gerceklikte-realist-cizimler-yapmak-korkunc-bir-emek-israfidir?partial=33331&level=0","Fantastik ögelerin, gerçek dünya ile harmanlandığı bir çalışmada, realistik tarzda bir çizim yapıldığını düşünürsek bu argüman geçerliliğini kaybediyor. Çünkü bu tür bir ortamı fotoğraflamak mümkün değildir.",""
38,"fotograf-makinelerinin-kaydedebildigi-gerceklikte-realist-cizimler-yapmak-korkunc-bir-emek-israfidir?partial=33347&level=0","Sanatta emek israfı denen birşey yoktur",""
39,"fotograf-makinelerinin-kaydedebildigi-gerceklikte-realist-cizimler-yapmak-korkunc-bir-emek-israfidir?partial=33357&level=0","Bu şekilde hiç emek vermeden hazıra alıştırmak olur. Yetenekli olan yerine iyi kamerası olan iyi resim çizer. Büyük haksızlık.",""
40,"fotograf-makinelerinin-kaydedebildigi-gerceklikte-realist-cizimler-yapmak-korkunc-bir-emek-israfidir?partial=33543&level=0","Sanatın duyguların dışavurumu olduğu görüşüne göre, ortada bir duygu değil sadece emek vardır.",""
41,"gelecegin-yeni-dini-dataizm-olacaktir?partial=33552&level=0","İnsan, içinden geldiği gibi kararlar vererek risk alıp zarar görmektense, kendi adına en doğru kararlar verecek olan veriyle beslenen makinelerin söylediklerini dinleyecektir. Dün Tanrının buyruklarına, bugün kendine hislerine tapan insan, yarın makinelerin komutlarına tapacaktır.",""
42,"havyanlarin-hayati-da-insanlarinki-kadar-degerlidir?partial=32871&level=0","Sözkonusu bir cana kıymak ise canı taşıyan organizmanın taksonomik konumu önemsizdir. Bir yaşamı sonlandırmanın, tür fark etmeksizin, hiçbir ahlaki gerekçesi olamaz",""
43,"havyanlarin-hayati-da-insanlarinki-kadar-degerlidir?partial=32872&level=0","İnsan hayatı sanıldığı kadar değerli değildir.safsata editi: Karşı argüman olan 'Hayvanlar insanlar kadar değerli değildir' veya 'İnsanlar hayvanlardan daha değerlidir' iddiasının örtük olarak insana atfettiği yüksek değerin mevcut olmadığını söyleyerek üst argümanı destekliyorum.",""
44,"havyanlarin-hayati-da-insanlarinki-kadar-degerlidir?partial=32873&level=0","Mevcut düzende her canlı hayatını sürdürmek için diğerleriyle çatışmak ve gerekirse kendi hayatı için başka hayatlara son vermek zorundadır.",""
45,"havyanlarin-hayati-da-insanlarinki-kadar-degerlidir?partial=33523&level=0","Hiçbir hayvan, bir diğer hayvanın hayatına içgüdülerinin dışında (annelik, hayatta kalmak) değer vermez. İnsanın hayvana değer vermesi hümanizm düşüncesinin bir sonucudur. Bu yüzdendir ki hiçbir canlının değerini kendibaşına ölçmeye kalkmaz, 'insan kadar değerli' diyerek belirlemeye çalışırız.",""
46,"havyanlarin-hayati-da-insanlarinki-kadar-degerlidir?partial=33524&level=0","Hayvanların hayatı insanlarınkinden daha değerli de olabilir veya olmayabilir. Bu değeri insan vermektedir; iki taraflı bir muhakeme bulunmaz.",""
47,"hicbir-bilgisayar-programi-kendi-basina-bir-sisteme-zihin-veremez?partial=33300&level=0","Zihne neden olan beyindir. Beyindeki nörofizyolojik süreçler zihinsel olguların ortaya çıkmasını sağlar.",""
48,"hicbir-bilgisayar-programi-kendi-basina-bir-sisteme-zihin-veremez?partial=33302&level=0","Bilgisayar programları tümüyle biçimsel veya sentaktik yapılarıyla tanımlanırlar.",""
49,"hicbir-bilgisayar-programi-kendi-basina-bir-sisteme-zihin-veremez?partial=33329&level=0","'bilgisayar programı' denilen şey zaten doğada kendiliğinden oluşmuyor. belirli bir görevi yapmak için temeli, insanlar tarafından oluşturuluyor. yani 'programın', 'kendi başına' kalması gibi bir durum söz konusu değildir. ayrıca 'sisteme zihin vermek' tabiri de korkunç bir çeviri örneği.",""
50,"humanizm-onumuzdeki-200-yil-icinde-yok-olacaktir?partial=33551&level=0","Geleceğin yeni dini Dataizm olacaktır",""
51,"istanbul-surici-arac-girisine-kapatilmalidir?partial=31176&level=0","Bir çok toplu taşıma aracının kullanıma müsait olduğu bu tarihi yarımadanın içine insanların şahsi araçlarıyla girmesi çevre gürültüsünü artırmaktadır. Şehir merkezi araç trafiğine kapatılmalı, insanlar ulaşım için çevreyle daha dost olan bisiklet kullanımına özendirilmelidir.",""
52,"istanbul-surici-arac-girisine-kapatilmalidir?partial=33806&level=0","günlük ticareti ve diğer lojistik hizmetleri aksatmaması gerekir.",""
53,"kanal-istanbul-projesinden-vazgecilmelidir?partial=33723&level=0","İnanılmaz ölçekte kazı, dolgu, dinamit patlatılması ve iş makinalarının kullanımı ciddi ölçekte gürültü ve egzoz gazı yayılmasına neden olacaktır.Önemli bir tarım ve mera alanı yok olacaktır.",""
54,"kanal-istanbul-projesinden-vazgecilmelidir?partial=33805&level=0","Çok doğru bir planlamayla bu kanalın kazanımlarından mahrum kalmamak da gerekir.",""
55,"kanal-istanbul-projesinden-vazgecilmelidir?partial=711&level=0","Marmara Denizi kısa süre içinde çürük yumurta kokmaya başlayacaktır",""
56,"kanal-istanbul-projesinden-vazgecilmelidir?partial=764&level=0","kanal nüfus baskısına neden olacak ve yeni bir 'ada' yaratacaktır.",""
57,"kanal-istanbul-projesinden-vazgecilmelidir?partial=776&level=0","olası bir marmara depreminde istanbul'a vereceği zarar daha yüksek olacaktır.",""
58,"sanat-elestirilemez?partial=31537&level=0","Sanat eserinin niteliğini sanatçı belirler fakat, eserden çıkarılan anlam her insan için subjektiftir. Eleştirmen eserden çıkarttığı bir anlamı koca bir topluluğa mal edemez.Not: Bu konuda tekniğe yapılan eleştiriyi ayrı tutuyorum.",""
59,"sanat-elestirilemez?partial=31562&level=0","Sanatı eleştirilemez kılıp yüceltmek, sanatı anlamamızı zorlaştırır.",""
60,"sanat-elestirilemez?partial=31564&level=0","Subjektif kriterler bazında subjektif eleştirilere tabidir.",""
61,"sanat-elestirilemez?partial=32441&level=0","Eleştirmek, kritik etmek bir sınır çizme etkinliğidir. Sanat eleştirilemez demek, sanatın sınırlarını inkar etmektir. Sınırları belli olmayan bir şeyin ne olduğunu bilemeyiz. Oysa bir şeye isim vermemizin sebebi onun sınırlarını belirlemek, onu diğerlerinden ayırt etmektir. Sanat da bir isimdir.",""
62,"sanat-elestirilemez?partial=32771&level=0","Sanat, sanatı eleştirerek zamanı kateder. Sanat akımları bir diğerinin eleştirisinden ortaya çıkar.",""
63,"sanat-elestirilemez?partial=32773&level=0","Bir sanat eserini onun eleştirileri hayatta tutar. Marcel Duchamp'ın 'çeşme' eseri gibi.",""
64,"tanrinin-varligini-kanitlamak-telasi-gereksizdir?partial=32808&level=0","çünkü bir şeyin varlığını kanıtlarsanız inanmak (iman etmek) fonksiyonu ortadan kalkar.",""
65,"tanrinin-varligini-kanitlamak-telasi-gereksizdir?partial=32823&level=0","Tanrının varlığını ya da yokluğunu kanıtlamak imkansızdır. Zaten kimsenin böyle bir uğraşı da yoktur.",""
66,"tanrinin-varligini-kanitlamak-telasi-gereksizdir?partial=32878&level=0","Tartışılması gereken tanrısallık kavramıdır...",""
67,"tanrinin-varligini-kanitlamak-telasi-gereksizdir?partial=33651&level=0","Tanrının olup, olmamasının çok önemli sonuçları olabilir.",""
68,"tanri-soyledigi-icin-kotudur?partial=33541&level=0","Kötü, Tanrı'dan önce gelemez.",""
69,"tanri-soyledigi-icin-kotudur?partial=33636&level=0","Ancak Tanrı dilediğini yapmakta özgürdür(doğruyu söylememek) çünkü kâinattan ve insan aklı yargılarından münezzeh bir varlığın ona hapsolması, hatta mantığımıza uyması gerekli bir durum değildir. Bu yüzden, Tanrının bize doğruyu söylemesi gibi bir obligasyonu zorunlu değildir.",""
70,"vicdan-gucluleri-korkutmak-icin-dusunulmus-korkaklarin-kullandigi-bir-sozcukten-baska-bir-sey-degildir?partial=4623&level=0","bu önerme vicdansız bir bireyin kendi vicdansızlığını meşrulaştırmak için ileri sürdüğü bir argüman da olabilir.",""
71,"vicdan-gucluleri-korkutmak-icin-dusunulmus-korkaklarin-kullandigi-bir-sozcukten-baska-bir-sey-degildir?partial=4634&level=0","Vicdan doğuştan gelen bir olgudur. Kişi tarafından bastırılabilir, görmezden gelinebilir ama hep oradadır.",""
72,"vicdan-gucluleri-korkutmak-icin-dusunulmus-korkaklarin-kullandigi-bir-sozcukten-baska-bir-sey-degildir?partial=4772&level=0","Vicdan toplumun ortak aklidir, güçlüye karsi bir hak arayisi dayanagidir. Doğru yola/cogunlugun degerlerine davettir.",""
73,"yalan-soyleme-olmadan-bilim-olmaz?partial=31754&level=0","İnsan çevresinde olan biteni izah etmek için bir yetenek; yalan söyleme yeteneği icad eder.",""
74,"yalan-soyleme-olmadan-bilim-olmaz?partial=31760&level=0","Bilimsel söylemler saati kurulmuş yalan gibidirler. Aksi ispatlanana kadar doğrudurlar, sonra patlarlar. Tıpkı zamanında dünyanın düz olduğu yalanının söylenmesi gibi.",""
75,"yalan-soyleme-olmadan-bilim-olmaz?partial=31792&level=0","Bilimin ilerlemesi adına yapılan çalışmalar çoğunlukla hayalgücü ürünüdür ve öngörüye dayanır; bu sebeple, kuramlar oluşturulurken çeşitli kabuller yapılır/çeşitli metodlar izlenir, bu kabullerin birinin veya birkaçının sonradan değişmesi, teoriyi çürütebilir veya güvenilirliğini azaltabilir.",""
76,"yalan-soyleme-olmadan-bilim-olmaz?partial=32074&level=0","Modern bilimsel metotda yalan ve dogru tanimlari yerine bilimsel metot, tez, hipotez ve teori tanimlari vardir.",""
77,"yalan-soyleme-olmadan-bilim-olmaz?partial=33545&level=0","dopamin salgısının gereği için bazı durumlarda yalan söylemek gerekir.",""
78,"yapay-zeka-insanin-varolus-anlamini-tehdit-etmektedir?partial=33517&level=0","Günümüz hümanizmi etik yargılara hisler yoluyla ulaşır. İnsan çoğu zaman hislerini anlayamaz ve onları gözü kör dinler. Gelişmekte olan yapay zeka ise gelecekte insanı kendinden daha iyi tanıyabilir ve onun adına kararlar alabilir. Bu da insanın varoluş anlamını tamamen kaybetmesi anlamına gelir.",""
79,"yapay-zeka-insanin-varolus-anlamini-tehdit-etmektedir?partial=33544&level=0","yapay zeka, kriz anında insan varlılığının devamı için duygularına göre değil mantığa göre hareket edeceğinden kurtarıcı bir misyon yüklenebilir.",""
80,"yapay-zeka-insanin-varolus-anlamini-tehdit-etmektedir?partial=33603&level=0","İnsanın varoluşu anlamsızdır.",""
81,"allahin-insani-ilk-yarattigi-andan-itibaren-o-kisinin-ahiret-gununde-cennetcehenneme-gidecegini-bilir-olmasi-mantiksizdir?partial=28546&level=0","Allah, bir insanı yarattığı anda onun sonunu bilmesi, balıkçının balığın çölde dayanamayacığını bilmesi gibidir.Balığın teste evet demesi, insanların cahilliği sonucu dünyadaki teste tâbi olmayı kabul etmeleri gibidir.Balıkçının balığı bu teste sokması mantıklı mıdır, tartışılır.",""
82,"allahin-insani-ilk-yarattigi-andan-itibaren-o-kisinin-ahiret-gununde-cennetcehenneme-gidecegini-bilir-olmasi-mantiksizdir?partial=28567&level=0","İnsanın, tanrı karşısında özgür bir irâdesinin olmadığı varsayılırsa önerme doğrudur. Aksi durumda test mantıksız değildir.",""
83,"allahin-insani-ilk-yarattigi-andan-itibaren-o-kisinin-ahiret-gununde-cennetcehenneme-gidecegini-bilir-olmasi-mantiksizdir?partial=31005&level=0","Allah kuran da insanı bir kadere göre yarattık derken, insanın ne yapacağını hayatını nasıl geçireceğini kast etmemiştir. Kader 'miktar', 'kural' demektir. Allah herşeyi bir kader ve kurala göre yaratmıştır. Burada bir anlam kargaşası vardır.",""
84,"allahin-insani-ilk-yarattigi-andan-itibaren-o-kisinin-ahiret-gununde-cennetcehenneme-gidecegini-bilir-olmasi-mantiksizdir?partial=33638&level=0","1- Analoji, ancak A ve B olguları benzer ise ve/veya benzer ilişkiler mevcutsa tutarlıdır.2- Tanrı kavramına dair tüm özellikleri bilmiyoruz.Yani;Tanrıyla ilgili yapılan tüm analojiler mantıksal zeminden yoksundur.",""
85,"allahin-insani-ilk-yarattigi-andan-itibaren-o-kisinin-ahiret-gununde-cennetcehenneme-gidecegini-bilir-olmasi-mantiksizdir?partial=33645&level=0","1- Semavi Tanrı zamanı yaratmıştır.2- Yarattıklarından münezzehtir.Yani; Tanrı zamandan bağımsızdır. Bu perspektiften her şey Onun için olmuş-bitmiş olabilir. Bir insan gibi oturup testin bilinen sonucunu beklemesi zorunlu değildir.",""
86,"arac-kullanirken-sigara-icmek-cezalandirilmalidir?partial=33537&level=0","Özel araçta, sürücü hariç içilebilir olması makul gözükmektedir.",""
87,"bir-fikir-iscisinin-dusmani-hemfikirleridir?partial=33446&level=0","Bir şeyin kolay oluşu ancak occam'ın usturası durumlarında geçerli bir sebep olabilir. Bir şeyin asli sebebi kolay yapılması olamaz.",""
88,"depresyon-icedonuk-safsatalarin-sonucudur?partial=33521&level=0","Kimse kasıtlı olarak kendi düşüncelerini çarpıtmaz.",""
89,"fotograf-makinelerinin-kaydedebildigi-gerceklikte-realist-cizimler-yapmak-korkunc-bir-emek-israfidir?partial=31555&level=0","Elimizde a portresi var ve bu a portresini gerçeğinden ayrılmayacak şekilde resmetmek emek israfıdır.",""
90,"havyanlarin-hayati-da-insanlarinki-kadar-degerlidir?partial=32922&level=0","Hayvanlar da güçlü bir konumda olduğunda insanların hayatı değerli mi kaygısına düşmeyecekler.",""
91,"havyanlarin-hayati-da-insanlarinki-kadar-degerlidir?partial=33330&level=0","ölüm de hayatın bir parçasıdır ve doğaldır. canlılar birbirlerini 'öldürmediğinde' ortaya çok daha kötü sonuçlar çıkabilir ve doğanın dengesi bozulabilir.",""
92,"hicbir-bilgisayar-programi-kendi-basina-bir-sisteme-zihin-veremez?partial=33301&level=0","Sentaks, semantik için yeterli değildir. Sentaks biçimsel, semantik içerikseldir.",""
93,"hicbir-bilgisayar-programi-kendi-basina-bir-sisteme-zihin-veremez?partial=33303&level=0","Zihinler semantik içeriklere sahiptir.",""
94,"humanizm-onumuzdeki-200-yil-icinde-yok-olacaktir?partial=34172&level=0","Süregeldiği varsayılan 'Hümanizm'in' bitmesi için bir çok sebep sayılabilir fakat dataizmin yeni din olarak gösterilmesi bu sebepler arasında değildir. Dataizmin yeni din olacak önermesi spekülatiftir.",""
95,"kanal-istanbul-projesinden-vazgecilmelidir?partial=34201&level=0","Buradaki 'kazanımlar' ifadesi örnekle desteklenmeyip tahayyüle bırakıldığından ve kime ait bir kazanım olacağı belirtilmediğinden, argüman muğlak kalmıştır.",""
96,"kanal-istanbul-projesinden-vazgecilmelidir?partial=712&level=0","Karadeniz'den gelen yüksek besinli su Marmara Denizi'ni oksijensiz bırakacaktır",""
97,"sanat-elestirilemez?partial=33445&level=0","Sınırlar, sanatın ya da sanatçının değil onun üretim nesnesinin sınırlarıdır.“Önemli hallerde sorulacak esas soru “Hangi nesneler sanat yapıtıdır?” sorusu değil, “Bir nesne ne zaman sanat yapıtı olur?” sorusudur.",""
98,"tanrinin-varligini-kanitlamak-telasi-gereksizdir?partial=32825&level=0","bu tarafgirliği ortadan kaldırmaz.",""
99,"tanrinin-varligini-kanitlamak-telasi-gereksizdir?partial=33648&level=0","1-Bir şeyin gereksiz olması, olması ile olmaması arasında bir fark olmamasıdır.2-Tanrının kanıtlanması eğer inancı kaldıracaksa; bu 1. maddeye göre gereksiz olarak nitelendirilemez.(Bu önerme ancak argümandaki 'telaş' ile bu uğraşı veya kanıtlanma olgusu kastedilmişse doğrudur)",""
100,"tanrinin-varligini-kanitlamak-telasi-gereksizdir?partial=33649&level=0","Kimsenin böyle bir uğraşı yoktur demek bariz bir hacme sahip bir felsefe konusunu ve din felsefesini, ve ontolojik ve epistemolojik ve ahlaki argümanların yapılmış olmasını görmezden gelmek olabilir ancak. Bu uğraşının olmadığını söylemek kesinlikle yanlıştır. Örneğin; ben de uğraşıyorum.",""
101,"tanrinin-varligini-kanitlamak-telasi-gereksizdir?partial=33650&level=0","Böyle bir imkansızlığın olması büyük bir iddiadır, desteklenmelidir.",""
102,"tanrinin-varligini-kanitlamak-telasi-gereksizdir?partial=33652&level=0","ama argüman tanrının olup olmaması değil. Tanrının olduğunun bilinip bilinmemesinin pratikte hiçbir önemli sonucu olnaz.",""
103,"vicdan-gucluleri-korkutmak-icin-dusunulmus-korkaklarin-kullandigi-bir-sozcukten-baska-bir-sey-degildir?partial=4644&level=0","Fizyolojik özellikler dışında hiçbir özellik doğuştan kazanılmış değildir. Toplumdan tecrit edilerek büyümüş bir birey hayvandan farksız olur.",""
104,"vicdan-gucluleri-korkutmak-icin-dusunulmus-korkaklarin-kullandigi-bir-sozcukten-baska-bir-sey-degildir?partial=4871&level=0","olmayabilir de.",""
105,"vicdan-gucluleri-korkutmak-icin-dusunulmus-korkaklarin-kullandigi-bir-sozcukten-baska-bir-sey-degildir?partial=4872&level=0","ancak bu durum her zaman doğru yola sevk etmez. linç ve talan kültürü bu vesileyle doğmuştur.",""
106,"yalan-soyleme-olmadan-bilim-olmaz?partial=31796&level=0","Bu öngörüleri 'Yalan söylemek' olarak adlandırmak abartılmış bir söylemdir. Günlük kullanımda dikkat çekmek için kullanılmış olabilir.",""
107,"yalan-soyleme-olmadan-bilim-olmaz?partial=31959&level=0","Yalan ve yanlış farklı şeylerdir. Yalan, aldatma amacı güderek, doğrudan doğru olmadığı bilinen bir yargının kullanımıdır. Yanlış ise kasıt taşımak zorunda değildir. Kaldı ki doğrunun zıttı yalan değildir, yanlıştır.",""
108,"yapay-zeka-insanin-varolus-anlamini-tehdit-etmektedir?partial=33518&level=0","makinenin söyleyecekleri daima kendi hislerinden daha doğru ve noksansızdır. Öyleyse ya bilerek kendi içinden geleni seçmeli ve yanlış yapma riskini göze almalıdır veya kendinden daha zeki olan makinenin söylediklerini uygulamalıdır.",""
109,"yapay-zeka-insanin-varolus-anlamini-tehdit-etmektedir?partial=33550&level=0","argümanda, yapay zekanın insanın varoluşunu değil, varoluş anlamını tehdit edildiği söylenmektedir.",""
110,"allahin-insani-ilk-yarattigi-andan-itibaren-o-kisinin-ahiret-gununde-cennetcehenneme-gidecegini-bilir-olmasi-mantiksizdir?partial=33639&level=0","A kavramının B koşullarında C yapması bekleniliyor ancak D yapıyorsa bunun mantıksız olması zorunlu değil; beklenilmeyen olması yeterlidir.A kavramının B koşullarında C yapacağı biliniyor ve buna rağmen D yapıyorsa, bu mantıksız olması için yeterlidir.Ana argüman bunu sağlamıyor.",""
111,"allahin-insani-ilk-yarattigi-andan-itibaren-o-kisinin-ahiret-gununde-cennetcehenneme-gidecegini-bilir-olmasi-mantiksizdir?partial=33647&level=0","Bir yazılımın yaptığı bir hesapta bağımsız bir değer alan fonksiyon mevcut olduğu halde, hesap bir sonuç veriyorsa bu olgu mantıksız değil; aksine analitik mantık kadar doğrudur.Yazılım; kaderİşlem; dünyaSonuç; ahiretBağımsız değer fonksiyonu; özgür iradeİşlemde mantıksızlık yoktur.",""
112,"havyanlarin-hayati-da-insanlarinki-kadar-degerlidir?partial=34176&level=0","Benim asıl sözünü ettiğim ölüm değil, bir canlıyı öldürmek. Ayrıca sırf doğanın dengesi bozulmasın diye canlıların birbirini öldürmesine göz yummak öldürmeyi benim benim anladığım şekliyle ahlaklı kılmıyor, zaten doğanın kendisi de ahlak kurallarıyla işlemiyor.",""
113,"havyanlarin-hayati-da-insanlarinki-kadar-degerlidir?partial=34177&level=0","bu argüman mevcut düzenin tek mümkün gerçeklik olduğunu varsayıyor. Canlıların birbirini öldürmeden varolabildiği daha ahlaki gerçeklikler de varolabilirdi.",""
