n,url,label,description
44,"liang-han-hui-tan-jiang-wei-dong-ya-qing-shi-dai-lai-he-ping?partial=30376&level=0","接下來的川金會才是重點，北韓想要去核武可以ˋ找到的最大的買家絕對不會是南韓，所以這是的見面只能說是會前會，有句話說的很好，有核武就是為了沒有核武，相信還是會往和平的地方發展4106013060",""
45,"liang-han-hui-tan-jiang-wei-dong-ya-qing-shi-dai-lai-he-ping?partial=30381&level=0","我認為是暫時的，因為在會談裡北韓並沒有正式放棄核武，北韓可能只是利用這次機會緩解國際制裁的壓力，而且兩韓若真的合作甚至統一的話勢必會破壞目前的平衡對周遭國家產生壓力，東亞還是會有更多角力。4103064008",""
46,"liang-han-hui-tan-jiang-wei-dong-ya-qing-shi-dai-lai-he-ping?partial=30388&level=0","在南北韓達成無核共識之時，兩大勢力勢必會把兩韓問題暫緩，而把矛頭指向兩岸問題。近日的多明尼加與我國斷交而與對岸建交，更能證明中國逐漸重視台灣的問題和打壓台灣在國際的地位與立場。相較於此，美國川普政府也日漸重視兩岸關係，簽訂台灣旅行法等，都能說明兩大勢力的重視。所以我認為兩韓之間的和緩並不能帶來東亞的和平，反而有可能因為兩岸的和緩而把矛頭都轉向兩岸問題而引發更多衝突。 4106012030",""
47,"liang-han-hui-tan-jiang-wei-dong-ya-qing-shi-dai-lai-he-ping?partial=30392&level=0","也有人視兩韓會談為川金會的會前會，美國可能想藉此試探北韓的核武立場；而北韓也可能想藉此解除國際對北韓的經濟制裁。若想達到真正的東亞和平，北韓必須改掉一直以來反覆無常的立場，且此次會談也必須獲得美中兩國的承認，才有可能真正的達到東亞和平。4106024033",""
48,"liang-han-hui-tan-jiang-wei-dong-ya-qing-shi-dai-lai-he-ping?partial=30393&level=0","然而兩韓會談的結果雖能帶給東亞短期內的和平，但卻會在經濟上帶來一定程度的衝擊，因為由美國主導的聯合國將逐漸放寬對北韓的經濟禁運，北韓將可能成為國際大廠未來著重的核心地域4106044002",""
49,"liang-han-hui-tan-jiang-wei-dong-ya-qing-shi-dai-lai-he-ping?partial=30399&level=0","此次會談是否會對東亞帶來平衡實為一未知數。金正恩野心可能超出大家想像，相信他目前確實有棄核可能，但其交換條件，也不會止於簡單的和平條約，推動兩韓統一才是目標。如果以兩韓目前態勢，主張統一者只會日益減少，剛好在這個美好時刻，有怪人川普，有親北韓的南韓領導，北韓釋出善意，當一個壞人當久了，釋出善意時，大家都會異常開心，這也是南韓人接受金氏政權的第一步。而這次會談他展現出了，他不是殘暴君主形象且北韓是一個正常國家，這些條件對於北韓統一有極好的奠基，而我認為金正恩有兩條路第一：將南北韓統一，他與南韓高層合作第二：破裂，反正最壞就是現在這樣不是嗎？4106024014",""
50,"liang-han-hui-tan-jiang-wei-dong-ya-qing-shi-dai-lai-he-ping?partial=30410&level=0","中美角力白熱化，北韓很清楚自己夾在中間該如何用兩面手法獲取利益，而且他不用考慮信用問題。兩韓會談只是川金會的前哨站而已，既然無論親美或親中對北韓而言都能得到利益，那這次會議、甚至之後的川金會，我認為北韓都還會持續向美國示好，藉此測試中國的態度。停止核子試驗、一起參加冬奧、說不定之後和美國建交等等，都只是時勢使然，在這個看似和平的舉動，我認為依舊是北韓玩兩面手法而已。核子試驗的成果還在；奧運常被當作政治角力工具；甚至建交之後都還可以斷交，北韓唯一要考慮的，只有「時間點」，等待正確的時機出手，如果金正恩夠聰明，將會為中美關係、東亞局勢，乃至世界政治版圖，增加不安的變數。4106011027",""
51,"liang-han-hui-tan-jiang-wei-dong-ya-qing-shi-dai-lai-he-ping?partial=30414&level=0","東亞的和平涉及到的不只南北韓，還有中國及日本還有台灣等國家，以及美國的一舉一動都和東亞息息相關，兩韓會談中止了緊張的軍事行為，但經濟上的合作是否能順利還是未知數，以國際社會對北韓的態度及以往北韓出爾反爾的行為來看，得到其他國家的認可和經濟上的支持可能還要一段時日。關鍵在於北韓這次是否能夠信守承諾，在5/5時北韓已經將時區調為跟南韓一樣，由此可見這次北韓迫切的想表示履行協議的決心，如果繼續地保持下去，兩韓就能真的和平了。6月的川金會也是一大關鍵，目前各國都在高度關注這件事，美國對北韓的態度必定會連帶影響其他國家的態度，因此兩韓和平後能否促進東亞和平一切都還是未知數。4106044026",""
52,"liang-han-hui-tan-jiang-wei-dong-ya-qing-shi-dai-lai-he-ping?partial=30426&level=0","我認為兩韓會談並非代表永恆的寧靜，目前東亞最大勢力無疑是中國。兩韓和解雖然能解除一時的核武威脅，但卻還有其他因素造成東亞的不平靜。並且北韓一旦開放，在貿易上勢必會與中國與南韓有密切交流，屆時中國是否會以政治手段或政策來說服北韓向其靠攏，增加與美對抗的盟友，還是個未知。4106012029",""
53,"liang-han-hui-tan-jiang-wei-dong-ya-qing-shi-dai-lai-he-ping?partial=30427&level=0","我認為兩韓會談對東亞和平的影響力沒有那麼大 這個會談還只是一開始而已 未來或許會有更多紛爭 加上其他國的介入（美中俄） 我想要談上東亞和平可能還需要好幾年呢 3104043024",""
54,"liang-han-hui-tan-jiang-wei-dong-ya-qing-shi-dai-lai-he-ping?partial=30437&level=0","這次會談發表《兩韓終戰宣言》，將兩邊過去的「休戰協定」轉為「和平協定」，從原本只是處於停戰狀態，改變為正式終止戰爭，所以從這個角度來看，兩韓會談明顯是東亞區域和平的開端。4105030334",""
55,"liang-han-hui-tan-jiang-wei-dong-ya-qing-shi-dai-lai-he-ping?partial=30440&level=0"," 北韓自從宣佈參加平昌冬奧後，就一直對外界釋出善意，包括宣佈放棄核武，以及把平壤時間變為跟南韓時間一樣。而南韓亦期望兩韓關係得到緩解，接受北韓的善意，而舉行兩韓會談。在兩韓會談後，兩韓都希望在今年內簽訂和平條約，但實際上，其實要經過中美兩大國的同意，因為兩韓的關係包含中美兩大國的角力，中國方面希望借助北韓建立地理優勢，而美國方面則希望在東南亞建立勢力，以抗衡中國的發展。所以兩韓一旦宣佈永久停戰，對兩大國以及東南亞都會帶來一定影響，到時侯東南亞的和平就會再受考驗。4104064025",""
56,"liang-han-hui-tan-jiang-wei-dong-ya-qing-shi-dai-lai-he-ping?partial=30441&level=0","兩韓會談與北韓態度的轉變可能只是短暫，此次會談形式上的象徵大於實質意義。在國際框架底下，各國都早已有自己特殊的國際定位與其所應扮演的角色，除非多方國家間的關係改變，否則僅兩韓彼此達成共識，並不會對東亞或者全球情勢造成太大的影響。4103052121",""
57,"liang-han-hui-tan-jiang-wei-dong-ya-qing-shi-dai-lai-he-ping?partial=30443&level=0","我覺得這其中背後有極大的條件交換才會得此局面。我認爲這對東亞來説只是暫時性的和平，北韓研發核武多年，要完全禁止無核武戰爭是有難度的，而且要北韓完全放棄自己最厲害的武器等同於把自身曝露在外，對北韓來説是不利的。 4106037030",""
58,"liang-han-hui-tan-jiang-wei-dong-ya-qing-shi-dai-lai-he-ping?partial=30444&level=0","雙方所簽訂的只是停戰協定，而不是雙方同意和平條約，所以南北韓只是暫時休戰，而且北韓還存有已發展的核武，隨時都可能引發戰爭，因此嚴格來說兩韓還在交戰狀態。兩韓會談也不能確保東亞和平，因為這關係中國與美國之間在利益上的衝突。4106023047",""
59,"liang-han-hui-tan-jiang-wei-dong-ya-qing-shi-dai-lai-he-ping?partial=30445&level=0","我覺得兩韓的和平極有可能是短暫的。在上一次的和美國和平談判後，多年後還是繼續進行試射。我覺得如此出爾反爾的行為很有可能會再次出現。畢竟有了第一次，就會有第二次。他這麼的不守信用，南韓的人還會接受我也是不會了。他雖然說同意無核化，但是誰又知道他會不會再次改變主意呢？他很有可能只不過是想緩解國際制裁而已。 4106037029",""
60,"liang-han-hui-tan-jiang-wei-dong-ya-qing-shi-dai-lai-he-ping?partial=30451&level=0","然而這個會談不全然能使得東亞得到長久性的和平。事出必有因,金正恩會放下核武姿態、與南韓進行會談,我認為主要是因為其要緩解國際對於北韓的制裁,讓他能夠再延續他的金氏帝國。但我認為也是因為如此,金正恩並不會長久得讓自己處於低頭狀態,只要他認為時機成熟了,仍然有可能再次發動核武戰爭,這也是為什麼我認為兩韓會談雖可能帶來和平，但並不會是長久的。4106044045",""
61,"liang-han-hui-tan-jiang-wei-dong-ya-qing-shi-dai-lai-he-ping?partial=30453&level=0","我認為兩韓會談能帶給東亞一小段時間的和平，但是，很難說北韓這項創世紀的舉動背後有什麼詭計，畢竟金正恩之前做了這麼多核武武器，他的企圖心眾人皆知，東亞國家仍須關注他的舉動。4106021044",""
62,"liang-han-hui-tan-jiang-wei-dong-ya-qing-shi-dai-lai-he-ping?partial=30470&level=0","兩韓長期的分裂造成東亞情勢的緊張，不管是對於官方或民間，北韓的封閉對於東亞各個國家產生嚴重的影響性，例如旅遊業，其他國家人民不敢進入該國家，造成恐慌，再加上北韓的核武，國家元首不明智的政策，皆都對東亞產生不和平的情勢，因此簽訂和平條約勢必會促進和諧。4106064112",""
63,"liang-han-hui-tan-jiang-wei-dong-ya-qing-shi-dai-lai-he-ping?partial=30474&level=0","與南北韓類似,兩岸皆以漢民族為主要族群,南北韓的和解將使中共方對台武統的正當性部分降低4106013006",""
64,"liang-han-hui-tan-jiang-wei-dong-ya-qing-shi-dai-lai-he-ping?partial=30502&level=0","東亞局勢不單單只由兩韓決定，周邊各國包含中日俄，甚至遠在太平洋另一端的美國都對這個區域有一定的影響力。這個會談只能說是展露了一絲和平的曙光。金川會的內容以及北韓是否會真正開始無核化會是目前東亞情勢走向的關鍵之一。4103036033",""
65,"liang-han-hui-tan-jiang-wei-dong-ya-qing-shi-dai-lai-he-ping?partial=30505&level=0","北韓也害怕經濟制裁。兩韓會談，可能是北韓尋求金錢來源的表現，如同1990年代北韓大饑荒後，2000年兩韓就舉行第一次領導人會面，以及2007年峰會後，兩韓共同發展開城工業區。 若不是北韓國內壓力逐漸增強，金正恩也不會願意改變以往強硬的態度。 他都以無核化來做為穩定政權的交換條件了，這次風波後，北韓應該暫時不敢再在全世界面前演示武力了。4104021028",""
66,"liang-han-hui-tan-jiang-wei-dong-ya-qing-shi-dai-lai-he-ping?partial=30507&level=0","整個會談並未簽署任何條約，並無實質的約束力，日後仍有很大的變數。況且這不單單只是兩韓之間的問題而已，周圍的國家甚至是遙遠的美國都將受影響，目前能得知的是，至少北韓的回應是正向的，若日後兩韓真的能簽署和平條約，實施無核，解除經濟制裁，相信都能緩和國際間緊張的氣氛，再來就是等著川金會結束後的走向了。4103036014",""
67,"liang-han-hui-tan-jiang-wei-dong-ya-qing-shi-dai-lai-he-ping?partial=30508&level=0","大多人都已說到大國間的角力不可能讓和平常存，亦有人說到如果要維持國內穩定。然而，是國際斡旋、是國家自身、是歷史定位，但這之中，不可忽視的是民族意識。儘管近年來韓國年輕人對統一的意願降低，但認為其必要性的還是多數。其比例也看出無關乎政局的親北與否，而是人民。也是如此，金正恩或為了鞏固自身政權和經濟而談和，文在寅或為了國內安全和歷史定位。但民眾來看是不反彈的，是這次或前次會面煙硝味不重之原因。但朝鮮維持民族性部分是阻隔外界消息及增長領導人權威象徵，金正恩為了什麼冒風險是一隱憂。朝鮮半島暫時平和，東亞間，韓國、朝鮮與日本的民族仇恨卻不會因此消弭，而中台關係卻又可能會因此起意識形態的變化。（接下）",""
68,"liang-han-hui-tan-jiang-wei-dong-ya-qing-shi-dai-lai-he-ping?partial=30515&level=0","比起和諧，此次的會談更像是北韓作出的妥協，若要提及和平，去核化在一定程度上也是一種妥協，或許權衡局勢之下為了獲取最大利益，或許為了逃避制裁。更進一步來說，國際情勢牽一髮動全身，當北韓一定程度上釋出善意，勢必壓縮了東亞部分國家如中國等的利益，而這些國家也必定會有所動作，從另一個角度而言未必對東亞整體和平有實質益處。綜合上述我認為這種基於利益所做的協議十分脆弱，某天利益局勢再次改變，或許北韓態度也再次改變。4106034064",""
69,"liang-han-hui-tan-jiang-wei-dong-ya-qing-shi-dai-lai-he-ping?partial=30869&level=0","朝鮮半島問題可以說簡單也可以說複雜，簡單的部分只是南北韓雙方利益關係的問題，而複雜的部分是其中有太多的國家太多的利益爭奪，即大國的介入(美國、日本、中國......)。4106042001",""
70,"mei-guo-ying-chu-bing-gong-da-yi-la-ke?partial=31752&level=0","6b40 Faisir美國懷疑伊拉克擁有大殺傷力武器。",""
71,"mei-guo-ying-chu-bing-gong-da-yi-la-ke?partial=31771&level=0","除達成此目的之外，並未有發現大規模殺傷性武器與證據。戰後美軍因在伊拉克頻繁遭受民兵及恐怖組織攻擊，奧巴馬政府決定撤軍，此後僅駐留少數軍官訓練伊政府部隊。",""
72,"mei-guo-ying-chu-bing-gong-da-yi-la-ke?partial=31924&level=0","不應該，因為會死人",""
73,"mei-guo-ying-chu-bing-gong-da-yi-la-ke?partial=31936&level=0","6a25美國還沒確定伊拉克真的有高殺傷力武器，只是推測",""
74,"mei-guo-ying-chu-bing-gong-da-yi-la-ke?partial=31937&level=0","美國只是推測而已，不代表真的有。 梁筠晴",""
75,"mei-guo-ying-chu-bing-gong-da-yi-la-ke?partial=31938&level=0","6A20如果有具殺傷力武器伊拉克有機會攻打其他國家",""
76,"mei-guo-ying-chu-bing-gong-da-yi-la-ke?partial=31942&level=0","6a01因為如果伊拉克🇮🇶真的有高殺傷力的武器，美國🇺🇸就要把它們毀滅。",""
77,"mei-guo-ying-chu-bing-gong-da-yi-la-ke?partial=31944&level=0","六智六號應該，因為伊拉克🇮🇶勢力過於強大，有高殺傷力的武器💣",""
78,"mei-guo-ying-chu-bing-gong-da-yi-la-ke?partial=31949&level=0","6A19 巫曉琳如果發生戰爭，會造成嚴重的人命傷亡，亦會令災民遷移到其他國家，導致其他國家大量人民令那個國家造成人民災難。",""
79,"mei-guo-ying-chu-bing-gong-da-yi-la-ke?partial=31951&level=0","傷亡慘重 6a07",""
80,"mei-guo-ying-chu-bing-gong-da-yi-la-ke?partial=31954&level=0","6A 09~會令人命傷亡，流離失所",""
81,"mei-guo-ying-chu-bing-gong-da-yi-la-ke?partial=31985&level=0","6D21因為戰爭會令大量的人，包括平民丶軍人死亡或受傷🤕️，而且他們也會將大部分金錢放在軍備上，減少對平民的援助",""
82,"mei-guo-ying-chu-bing-gong-da-yi-la-ke?partial=32004&level=0","FredTsoi我唔贊成美國攻打伊拉克🇮🇶，因為我認為，因為好多嘅武器攻擊會令到大量無辜嘅平民死亡。#meow",""
83,"mei-guo-ying-chu-bing-gong-da-yi-la-ke?partial=33576&level=0","期待智慧者使用戰爭以外的方式和平進行交涉",""
84,"mei-guo-ying-chu-bing-gong-da-yi-la-ke?partial=33630&level=0","伊拉克的石油儲量居世界第二位，僅次於沙烏地阿拉伯，自911事件以後美國打擊恐怖主義和主導全球戰略的心情更加迫切，而美國的老對頭薩達姆一直在挑戰美國的霸權，美國打擊伊拉克就可以控制能源，重組亞洲，維護自己的霸權地位，這正符合美國的國家利益。",""
85,"nu-xing-bi-nan-xing-you-yue?partial=29019&level=0","我認為男性和女性係平等的，因為女性做到的事男性都做到",""
86,"nu-xing-bi-nan-xing-you-yue?partial=29020&level=0","6a18女性比男性優越",""
87,"nu-xing-bi-nan-xing-you-yue?partial=29021&level=0","6a26男女應該平等,男女都是人,都不是完美的,大家只是性別和智商不同,雖然大家的智商都有高有低,可智商高不代表較優越,智商低不代表不優越",""
88,"nu-xing-bi-nan-xing-you-yue?partial=29023&level=0","因為女性能做得比男性較多，男性能做的女性也能做。女性穿裙、褲都可以，但男性穿裙子很奇怪。女性塗眼影、做指甲很普遍，但男性做這些東西很奇怪。",""
89,"nu-xing-bi-nan-xing-you-yue?partial=29024&level=0","女孩子的朋友圈能力比男孩子的高很多",""
90,"nu-xing-bi-nan-xing-you-yue?partial=29026&level=0","因為女性的平衡力和專注力都比男性好",""
91,"nu-xing-bi-nan-xing-you-yue?partial=29027&level=0","男性比女性優越",""
92,"nu-xing-bi-nan-xing-you-yue?partial=29033&level=0","女性除了能做男性懂得做的事外,還有別的才能,例如能生育、手工更靈巧（做手工藝較易上手）",""
93,"nu-xing-bi-nan-xing-you-yue?partial=29034&level=0","因為男生來做的女性例如男性穿褲子，女性也可以，更可以穿裙",""
94,"nu-xing-bi-nan-xing-you-yue?partial=29035&level=0","人人平等!",""
95,"nu-xing-bi-nan-xing-you-yue?partial=29041&level=0","根據香港學生派位機制的結果, 男學生派往第一組別學校的人數遠低於女學生",""
96,"nu-xing-bi-nan-xing-you-yue?partial=29042&level=0","我認為女性比男性優越 因為男性做的事女性都可以做，此外，女性還可以幫助我們生育下一代，持續生命。",""
97,"nu-xing-bi-nan-xing-you-yue?partial=29043&level=0","身為女性，我會支持自己的性別，還有很多優處例如：能感受生育的經歷、細心、做出來的東西更巧奪天工⋯⋯而男性太粗心大意",""
98,"nu-xing-bi-nan-xing-you-yue?partial=29044&level=0","男女都有不同的價值，如果男女不平等那麼就沒有人照顧好小孩，也沒有很多人幫忙洗衣服，反正男女平等世界才能每一件事都做得好，分配得平均",""
99,"nu-xing-bi-nan-xing-you-yue?partial=29050&level=0","現任行政長官是女性 證明女性很優越",""
100,"nu-xing-bi-nan-xing-you-yue?partial=29053&level=0","女性的直觉能力天生较之逻辑意识更优越,同时女性也比男性更喜欢更珍视自己的内心世界。",""
101,"nu-xing-bi-nan-xing-you-yue?partial=29062&level=0","因為陳老師是女性，她非常好",""
102,"nu-xing-bi-nan-xing-you-yue?partial=29065&level=0","女性的直觉能力天生较之逻辑意识更优越,同时女性也比男性更喜欢更珍视自己的内心世界。",""
103,"nu-xing-bi-nan-xing-you-yue?partial=29066&level=0","在動物界中, 很多雄性為了生育繁殖,會做很多事情來吸引和討好雌性,可見女性的重要",""
104,"nu-xing-bi-nan-xing-you-yue?partial=29074&level=0","劉凱蕎比fat chan 差n",""
105,"quan-qiu-nuan-hua-shi-ge-pian-ju-jiao-xue-yong?partial=32854&level=0","全球暖化具有高度的不確定性",""
106,"ri-ben-fu-dao-yu-zhou-bian-he-zai-di-qu-de-shi-pin-shi-an-quan-wu-yu-de?partial=32082&level=0","4107032039園藝一 林煜翔雖然日本福島周遭的地區在過去在過去是核災的地區，但是我認為在現今的社會當中 依然有不少居民居住在那些地區且依然有食用當地所產出的食品，雖然其背景是固然會使人會對他們的產品有疑慮，但是在不少新聞以及文章的佐證之下，我覺得應該是能夠食用的。",""
107,"ri-ben-fu-dao-yu-zhou-bian-he-zai-di-qu-de-shi-pin-shi-an-quan-wu-yu-de?partial=32083&level=0","雖然311大地震距離至今已經不少年了，福島核災的清潔工作也告一段落，周遭也恢復讓居民回去居住了，但沒有人能夠保證福島周邊的農作產品受到的污染是否已經完全對人體沒有影響。輻射的殘留是很難消失的，我認為至少要再等上10年，並且經過嚴密的檢測以及對動物做相關實驗之後，才能再次開放出口到世界其他國家。4105034030",""
108,"ri-ben-fu-dao-yu-zhou-bian-he-zai-di-qu-de-shi-pin-shi-an-quan-wu-yu-de?partial=32084&level=0","4104011037,畢竟政府還是要顧及民眾的健康和疑慮.如果要維持台日友好，就進口其他非核區域的農產品來代替吧。",""
109,"ri-ben-fu-dao-yu-zhou-bian-he-zai-di-qu-de-shi-pin-shi-an-quan-wu-yu-de?partial=32085&level=0","是的，雖然已經經過了一段時間了，但是許多人對於日本的福島周邊核災地區的食品仍然抱有保守的態度，認為還是有污染甚至是反對進口，但是若是論污染的話，我覺得不管是什麼國家，都可能有這方面的污染，只是大小問題，雖然核災的影響想當嚴重，但是日本有在改善，只要做好進口的把關，我認為還是可以進口的！4105034001",""
