,class,n1,n2
409,-1,6068,1138
410,1,5496,1325
411,-1,18142,15341
412,1,547,64
413,1,29885,28975
414,1,30530,29697
415,1,18074,16637
416,-1,14939,10520
417,1,9001,2458
418,1,9605,8751
419,-1,11931,7082
420,-1,23682,22135
421,1,26312,24835
422,-1,30860,29460
423,-1,7025,5473
424,-1,31282,30465
425,-1,30645,30127
426,1,31467,30933
427,1,24982,23571
428,1,26418,25185
429,-1,19306,25189
430,-1,8032,2812
431,1,18208,17091
432,-1,27367,26998
433,1,28709,28186
434,1,14355,10854
435,-1,31763,31298
436,1,29659,30145
437,1,23279,22197
438,1,16638,19848
439,1,33638,33227
440,1,31867,31167
441,-1,23641,22395
442,-1,30921,30209
443,-1,27106,25216
444,-1,1870,102
445,1,32792,32364
446,-1,31916,31485
447,-1,16486,12761
448,1,16331,12799
449,-1,26398,25161
450,1,31576,30746
451,-1,32398,32151
452,1,12287,2971
453,1,28136,26870
454,1,15233,13120
455,1,33989,33475
456,-1,18628,17746
457,-1,28492,27685
458,1,31095,30663
459,-1,4662,1447
460,1,2282,1914
461,-1,26681,24714
462,1,22300,20677
463,1,29428,27381
464,1,12303,6217
465,1,23083,21996
466,1,21900,21160
467,1,4940,1514
468,-1,13100,12245
469,-1,22538,22738
470,-1,25244,23317
471,1,1865,94
472,-1,25573,23627
473,-1,2409,1098
474,-1,23399,21836
475,1,19493,17677
476,-1,27986,27018
477,1,32977,32779
478,-1,33402,33296
479,-1,6173,1584
480,1,3928,1163
481,1,10133,8244
482,1,23826,22027
483,1,10046,8668
484,1,12099,6084
485,-1,22041,20424
486,1,2227,98
487,1,6655,2942
488,-1,31313,30647
489,-1,30138,29163
490,1,23656,22484
491,1,26259,24887
492,-1,33970,33552
493,1,29748,29196
494,1,19293,17341
495,-1,3058,665
496,-1,26622,25421
497,-1,30196,29401
498,-1,30098,28774
499,-1,32123,31532
500,1,17385,16638
501,1,21675,21052
502,-1,968,244
503,1,4455,1278
504,-1,11317,4304
505,-1,16918,16135
506,-1,29035,27909
507,1,1924,114
508,-1,22050,20972
509,1,5514,8503
510,1,1219,73
511,1,2933,1957
512,-1,25300,23010
513,-1,25088,23451
514,-1,24414,24251
515,-1,10784,4033
516,1,9178,7433
517,-1,31338,30671
518,-1,14080,11266
519,1,12590,5406
520,1,3657,10500
521,1,23513,21623
522,-1,23801,21517
523,1,32605,32364
524,-1,25788,24408
525,-1,14244,10763
526,-1,27073,25035
527,-1,28735,28008
528,1,26114,24540
529,1,8295,2937
530,1,9421,7082
531,1,23558,22377
532,-1,11494,8897
533,-1,30601,29791
534,1,9506,7290
535,1,17394,17125
536,1,14148,15437
537,-1,28926,28005
538,1,2142,6217
539,-1,33679,33119
540,-1,1900,262
541,1,21860,21010
542,-1,2693,5487
543,-1,24687,23710
544,1,27999,26919
545,-1,26621,25749
546,-1,5554,1942
547,-1,28294,26902
548,-1,8042,8410
549,1,2939,1163
550,1,290,0
551,1,1155,278
552,1,19938,21174
553,1,3940,1649
554,-1,13705,11876
555,-1,33316,32686
556,-1,32445,32131
557,1,23890,22288
558,1,24439,21985
559,-1,27480,28659
560,-1,938,131
561,-1,30379,30179
562,1,17603,17055
563,-1,13425,10721
564,-1,9071,4919
565,1,15962,13926
566,-1,13919,11115
567,1,26558,25615
568,-1,5084,1968
569,-1,31374,30531
570,1,27442,26969
571,1,8037,6197
572,1,30197,29342
573,-1,29670,28556
574,-1,32911,32864
575,-1,28959,27742
576,-1,8077,3628
577,-1,10868,2396
578,-1,28330,26652
579,-1,33998,33499
580,-1,34149,33507
581,-1,2297,6811
582,-1,12535,8581
583,-1,28095,26505
584,-1,27805,27802
585,1,2050,262
586,1,34214,33928
587,-1,27111,24826
588,1,29416,28423
589,-1,34188,34055
590,1,8493,6607
591,1,23868,21988
592,-1,23768,22208
593,-1,24337,22177
594,-1,23461,21534
595,-1,28043,25940
596,1,34155,33620
597,-1,26597,25279
598,1,1531,81
599,1,22521,24196
600,-1,5924,1794
601,-1,8103,5421
602,1,16869,16093
603,1,30270,29998
604,1,32851,32471
605,1,18504,17634
606,1,25783,24413
607,1,31130,30495
608,1,34077,33545
609,1,25242,23891
610,-1,25679,23902
611,-1,25399,23638
612,1,32641,32502
613,1,3747,738
614,1,23367,21605
615,1,3353,2212
616,1,12512,5953
617,-1,29038,27432
618,-1,26527,25066
619,-1,27653,26000
620,1,26482,25132
621,1,7422,3693
622,1,30076,28963
623,-1,29337,28257
624,1,31163,30925
625,-1,32082,31384
626,1,28687,27393
627,1,34034,33515
628,-1,27901,27054
629,-1,27554,26175
630,1,31295,30813
631,-1,13282,9538
632,-1,4133,13749
633,-1,29431,27311
634,-1,23081,21931
635,-1,22880,21088
636,-1,24796,23413
637,1,9106,3259
638,-1,31937,31124
639,-1,25729,24371
640,1,4853,2183
641,1,10736,3755
642,1,25230,23248
643,-1,24020,22751
644,-1,10183,8768
645,1,10313,8741
646,-1,23262,22351
647,-1,25460,23678
648,-1,8745,4161
649,-1,26283,24950
650,-1,34231,34009
651,1,22066,21040
652,-1,826,262
653,1,9630,8666
654,-1,32437,32262
655,1,33696,33137
656,1,27202,26469
657,1,31275,30538
658,-1,11862,5164
659,1,27366,25940
660,-1,27213,26625
661,1,12226,11459
662,-1,30917,29667
663,1,20799,19221
664,1,4428,873
665,-1,32594,32394
666,-1,31127,30626
667,-1,26850,25630
668,1,17927,16628
669,1,30558,29466
670,-1,32223,32018
671,-1,23508,22565
672,-1,5481,1256
673,1,3604,443
674,-1,29050,28693
675,-1,26122,25010
676,-1,27184,26298
677,-1,31426,30716
678,1,17513,16636
679,-1,23186,22737
680,1,462,162
681,1,16868,16258
682,-1,33129,32556
683,1,25843,23224
684,-1,24792,23333
685,-1,5204,14360
686,1,6199,2072
687,1,9813,8195
688,-1,7569,5378
689,-1,24285,21384
690,-1,22168,20447
691,1,23029,22088
692,1,33684,33237
693,1,34371,34307
694,-1,32044,31318
695,-1,30282,29657
696,1,10803,4974
697,1,30546,29477
698,1,27135,24751
699,-1,6692,5724
700,1,7576,5598
701,-1,11140,3526
702,-1,1311,198
703,-1,10411,8902
704,-1,26854,25198
705,1,30018,29192
706,-1,27811,26318
707,1,21941,20793
708,1,28647,27416
709,1,13862,10281
710,-1,11957,7687
711,-1,4695,1733
712,-1,8782,5213
713,1,12567,8452
714,1,31479,32305
715,1,4657,1437
716,-1,2540,716
717,1,21178,19409
718,1,28894,28010
719,1,2958,1428
720,1,9564,8951
721,1,12566,6771
722,1,934,234
723,1,30324,31740
724,-1,25328,23507
725,-1,28211,26487
726,1,5681,2154
727,1,31750,31457
728,1,17478,17240
729,-1,30007,28438
730,1,24241,22288
731,1,17817,16620
732,1,29765,28450
733,-1,30173,28755
734,1,32439,32243
735,-1,31775,31284
736,1,31785,31123
737,1,31756,31389
738,1,28033,25962
739,-1,33059,32565
740,1,29777,29224
741,1,24440,22510
742,1,20865,19471
743,-1,11530,5682
744,1,5239,402
745,1,28242,26906
746,-1,25194,24154
747,-1,33982,33461
748,-1,27988,26094
749,-1,29587,29327
750,-1,31571,30369
751,-1,2880,618
752,1,19457,17894
753,1,16969,16052
754,-1,30938,30179
755,-1,3668,1098
756,-1,32779,32683
757,1,30318,30193
758,-1,28107,26514
759,-1,25754,23444
760,1,28032,25941
761,1,5088,1210
762,-1,4736,1984
763,1,33777,32995
764,1,27299,28011
765,-1,23288,21653
766,1,21650,20478
767,1,18571,17604
768,1,20821,19288
769,1,4315,6198
770,-1,28473,27499
771,1,29245,27876
772,1,27382,26991
773,-1,27762,26786
774,1,28774,27593
775,-1,29755,28640
776,1,25138,24000
777,-1,24649,24650
778,1,9628,7047
779,1,19167,17308
780,-1,29561,28802
781,-1,6212,1714
782,-1,15847,13884
783,-1,24228,21411
784,1,16033,14405
785,1,10533,3919
786,-1,25273,23548
787,-1,5489,1975
788,1,25257,23881
789,-1,27312,26005
790,1,24611,23635
791,-1,29723,29423
792,1,30349,29637
793,1,31948,31649
794,1,4984,593
795,-1,27873,27122
796,-1,13834,9955
797,1,34321,34198
798,1,13927,12402
799,1,26753,25129
800,-1,4474,1365
801,1,29930,29179
802,1,25511,23386
803,-1,23731,22907
804,-1,30623,30242
805,1,4300,2205
806,1,5130,1332
807,1,22989,22267
808,1,25232,24268
809,1,1438,133
810,1,13884,10392
811,-1,25836,23678
812,-1,31133,30402
813,-1,30377,29657
814,-1,11314,3117
815,-1,33151,32686
816,1,6094,1491
817,-1,7182,3026
818,-1,26322,25003
819,-1,32331,32077
820,-1,30324,29657
821,-1,24638,23469
822,1,28178,26617
823,-1,25680,24027
824,-1,27732,26490
825,1,26007,25511
826,-1,29942,28508
827,-1,27221,26082
828,1,8386,5363
829,1,33405,33257
830,1,16820,15415
831,-1,15133,13615
832,1,16506,13384
833,-1,28134,26182
834,-1,17955,15971
835,1,19718,24835
836,-1,5737,2147
837,1,30404,30083
838,-1,13776,11023
839,1,19055,17372
840,1,24104,21778
841,1,26252,24779
842,1,7772,2993
843,-1,31183,30457
844,-1,33274,32792
845,-1,15045,10088
846,1,14339,12046
847,1,20449,19393
848,1,2774,738
849,1,20341,21626
850,-1,1612,257
851,-1,34091,33552
852,-1,17618,17115
853,1,15110,16220
854,1,2989,1291
855,1,8804,6011
856,-1,26532,24702
857,-1,25993,25067
858,1,8299,2982
859,-1,33168,32779
860,-1,25135,23868
861,1,2840,754
862,1,1811,233
863,-1,26364,25372
864,1,14346,11985
865,1,18489,18213
866,-1,32534,32393
867,-1,31876,31204
868,1,7804,3026
869,1,20657,19227
870,1,305,267
871,1,307,211
872,1,24118,25031
873,-1,24745,24212
874,-1,28699,27596
875,1,20767,18488
876,1,8702,5001
877,-1,14682,11530
878,1,9494,6562
879,-1,14686,9873
880,1,13232,9452
881,-1,27632,26120
882,1,3982,1132
883,-1,16755,16477
884,1,26183,25320
885,1,21628,22261
886,-1,32654,32391
887,-1,30451,30030
888,-1,24219,22166
889,1,23463,22639
890,1,29482,28931
891,-1,25337,26979
892,1,16859,16483
893,1,16691,19472
894,-1,27301,26326
895,1,14439,10012
896,1,7708,3559
897,-1,10196,7604
898,1,32260,31957
899,-1,8546,3540
900,1,16639,15118
901,-1,964,140
902,-1,2452,545
903,1,28763,28077
904,1,20249,18591
905,-1,16790,16163
906,1,12752,12312
907,-1,21791,22401
908,-1,24887,22939
909,-1,30200,29320
910,1,31749,31075
911,-1,15459,13286
912,-1,25222,23517
913,1,21974,20716
914,1,32474,32131
915,-1,14863,11550
916,-1,25759,23807
917,-1,32920,32591
918,1,32111,31181
919,-1,28470,27228
920,-1,31751,31093
921,-1,29547,28931
922,1,2384,1076
923,-1,12726,10850
924,-1,27797,26123
925,1,27133,25599
926,-1,21284,19423
927,1,33573,33119
928,1,18294,17776
929,1,31280,30458
930,-1,25545,22939
931,-1,5270,640
932,-1,5700,1936
933,1,27950,26335
934,1,1184,228
935,-1,27925,26661
936,1,24868,23385
937,-1,21721,20896
938,1,31433,30375
939,-1,25526,23767
940,1,30588,29767
941,-1,28260,26848
942,-1,2462,1363
943,1,20107,19689
944,1,26013,24816
945,1,15996,12727
946,1,18343,19867
947,-1,15373,15086
948,-1,29140,27857
949,1,5742,393
950,1,26601,24718
951,-1,27417,26856
952,-1,34325,33858
953,1,32455,32243
954,1,24700,23367
955,1,33138,33345
956,-1,23510,22514
957,-1,89,9
958,1,28164,27269
959,1,22204,23139
960,1,23070,22139
961,1,20646,21074
962,-1,11776,7753
963,1,26947,24725
964,1,23157,21596
965,-1,2684,505
966,1,27277,26876
967,-1,15229,13348
968,1,31088,30813
969,1,19092,17401
970,1,9364,9104
971,-1,5098,1563
972,-1,31009,30298
973,1,28013,26394
974,-1,27279,25945
975,1,13106,11328
976,1,21855,20479
977,1,18444,18213
978,-1,26016,25010
979,1,14486,11142
980,1,25774,23472
981,1,33123,32688
982,-1,31932,31244
983,1,29742,28495
984,1,24940,23072
985,-1,26022,25680
986,-1,24587,23405
987,1,28120,26719
988,1,7981,6409
989,1,12669,10702
990,-1,3787,1957
991,1,15475,14927
992,1,21346,19686
993,1,34048,33705
994,-1,29167,28156
995,-1,3923,9124
996,1,31581,30886
997,1,33890,33471
998,-1,11543,2836
999,1,32814,32419
1000,1,27894,26896
1001,1,191,9
1002,1,23427,22452
1003,1,31286,30254
1004,-1,7372,4013
1005,-1,13393,11463
1006,-1,31516,30706
1007,-1,31868,31339
1008,1,32165,32095
1009,1,6982,2266
1010,1,31881,31224
1011,-1,34252,33981
1012,-1,26625,24516
1013,1,19818,18947
1014,-1,26687,24707
1015,-1,25963,24690
1016,-1,27779,26279
1017,-1,26476,25343
1018,-1,30697,30210
1019,-1,25530,23230
1020,1,6246,517
1021,-1,30970,29974
1022,-1,5830,1400
1023,1,10354,7048
1024,1,30603,29495
1025,1,13947,9791
1026,-1,26391,25031
1027,1,4459,455
1028,1,28843,28136
1029,1,27470,25953
1030,-1,14492,10252
1031,-1,25538,23980
1032,-1,29138,28038
1033,-1,14609,10765
1034,1,14411,11072
1035,-1,26276,25228
1036,-1,24717,23124
1037,1,12348,7714
1038,-1,30081,28444
1039,1,19322,17505
1040,1,12042,6662
1041,1,20488,18919
1042,1,25506,24484
1043,1,16777,24385
1044,1,21430,20022
1045,-1,3738,1911
1046,1,31268,30419
1047,-1,2446,5030
1048,1,30419,29987
1049,-1,29048,27382
1050,-1,25791,24202
1051,1,24735,23065
1052,-1,33228,32817
1053,1,20701,19551
1054,1,5027,2157
1055,1,13652,10020
1056,1,22222,20742
1057,-1,25871,24220
1058,-1,26498,24918
1059,1,6941,5345
1060,-1,29651,29420
1061,-1,28360,26404
1062,-1,22261,21248
1063,-1,4958,1047
1064,-1,5664,1461
1065,1,31332,30730
1066,1,31487,30701
1067,-1,26327,24683
1068,-1,7761,2885
1069,-1,9595,7232
1070,1,7785,4770
1071,1,31904,31636
1072,-1,26705,25379
1073,-1,14776,11189
1074,1,14691,10145
1075,1,30800,29537
1076,1,16735,16116
1077,-1,2757,7535
1078,-1,28757,27300
1079,1,854,153
1080,1,3578,1275
1081,-1,1751,139
1082,1,32257,31983
1083,-1,3750,2117
1084,1,9502,8412
1085,-1,11478,5002
1086,1,26631,25343
1087,1,16508,13196
1088,1,16855,15797
1089,1,22310,20850
1090,1,18886,17481
1091,-1,17217,15797
1092,1,29019,27575
1093,1,14369,10801
1094,1,26216,25007
1095,1,31166,30621
1096,1,15914,14025
1097,1,12667,11348
1098,1,15464,13987
1099,-1,29189,27849
1100,-1,28791,28218
1101,1,4434,508
1102,-1,31580,30711
1103,1,7690,9701
1104,1,23668,22437
1105,1,24678,24205
1106,-1,6645,6075
1107,1,27739,26473
1108,1,10438,3872
1109,1,18321,17314
1110,1,22097,20566
1111,1,25345,25520
1112,-1,23531,22088
1113,-1,10899,6109
1114,-1,5376,1631
1115,-1,10074,6778
1116,-1,30830,30064
1117,1,23167,22650
1118,1,33295,32698
1119,1,21310,18488
1120,1,28138,26870
1121,1,8878,3815
1122,1,25606,24199
1123,1,20715,19391
1124,-1,27816,25946
1125,1,16163,13125
1126,1,28921,27781
1127,-1,31465,30306
1128,1,21684,20247
1129,-1,5038,1658
1130,-1,27529,26613
1131,-1,31759,31078
1132,-1,28253,26668
1133,-1,31944,31411
1134,1,2590,960
1135,-1,31564,30473
1136,1,2051,1182
1137,1,10900,3427
1138,1,13398,11278
1139,-1,28532,28315
1140,1,6622,5693
1141,1,33433,33196
1142,-1,22550,19865
1143,1,8052,10880
1144,1,13551,11306
1145,-1,7783,4381
1146,-1,31038,30957
1147,1,10526,5084
1148,-1,25234,22995
1149,1,15343,13630
1150,-1,18639,18039
1151,-1,6446,4221
1152,1,8082,3142
1153,-1,25411,23785
1154,-1,23429,21772
1155,-1,25624,23463
1156,1,6419,605
1157,-1,15370,13232
1158,-1,31327,30748
1159,-1,32208,31757
1160,-1,1664,295
1161,-1,32339,31997
1162,-1,16433,13886
1163,-1,19949,18919
1164,1,8815,3622
1165,1,2603,615
1166,-1,27358,26115
1167,1,21782,20882
1168,-1,4777,978
1169,1,4864,3031
1170,1,29375,27946
1171,-1,12798,11228
1172,-1,29992,29358
1173,-1,253,24
1174,-1,24301,22197
1175,1,10342,7407
1176,-1,33499,33014
1177,-1,2045,131
1178,-1,31461,30976
1179,1,12408,4106
1180,-1,31445,30772
1181,1,25341,27151
1182,1,6110,1536
1183,-1,19072,17737
1184,-1,32960,32690
1185,1,27831,26347
1186,1,24254,22012
1187,1,14353,10833
1188,1,20206,18592
1189,-1,13474,11717
1190,-1,7545,5733
1191,-1,26095,25523
1192,1,21820,19719
1193,1,32108,31546
1194,1,23512,22016
1195,-1,14942,11658
1196,-1,31321,30714
1197,-1,33622,33178
1198,1,5470,2159
1199,-1,11226,9092
1200,1,22340,21035
1201,1,20646,19284
1202,-1,6033,984
1203,1,30746,29797
1204,1,3214,1301
1205,1,22197,20055
1206,1,25803,23190
1207,-1,33774,32951
1208,-1,25795,24207
1209,-1,27746,26559
1210,1,13376,9768
1211,1,9378,10647
1212,-1,27215,26557
1213,-1,31006,29563
1214,-1,13450,11228
1215,1,13195,10106
1216,-1,17006,15338
1217,-1,30193,29399
1218,-1,34079,33572
1219,-1,24564,23687
1220,-1,184,6446
1221,1,18326,17318
1222,-1,29620,29400
1223,1,31844,31593
1224,-1,23723,22148
1225,1,26649,24644
1226,-1,6211,2148
1227,1,28881,27723
1228,-1,29842,28964
1229,-1,27690,26154
1230,1,17419,16694
1231,-1,22765,20535
1232,-1,22595,20068
1233,1,6108,1132
1234,-1,6695,5459
1235,-1,25758,24034
1236,1,18854,17932
1237,-1,5673,1063
1238,1,28384,26218
1239,-1,28905,27750
1240,1,18165,16346
1241,1,16734,15118
1242,1,9480,7198
1243,-1,9060,5197
1244,1,26218,25787
1245,1,23465,22653
1246,-1,27945,26495
1247,1,12564,3589
1248,-1,32279,31984
1249,-1,27173,26475
1250,1,28611,27975
1251,-1,27893,27071
1252,1,22478,20303
1253,-1,30198,28470
1254,-1,14133,10790
1255,1,4987,1594
1256,1,27839,26086
1257,-1,11315,7244
1258,1,26611,25881
1259,-1,27961,26474
1260,1,15149,14358
1261,-1,24451,21604
1262,-1,23606,22691
1263,-1,3398,727
1264,1,33597,33249
1265,1,24190,22640
1266,1,25999,25231
1267,1,6437,555
1268,-1,27386,25962
1269,1,27272,26048
1270,1,31155,30701
1271,-1,26463,25496
1272,1,11717,6258
1273,-1,16016,14148
1274,1,8345,4220
1275,1,17099,16264
1276,-1,2963,989
1277,1,30950,29801
1278,-1,23199,22329
1279,-1,26519,25298
1280,1,13992,10502
1281,1,33980,33561
1282,-1,28269,26357
1283,1,27672,26416
1284,-1,21973,20565
1285,1,32912,32715
1286,-1,7956,4010
1287,1,29139,28388
1288,-1,8933,2570
1289,-1,14876,11870
1290,1,28354,26655
1291,1,22833,19818
1292,1,22111,19893
1293,-1,5746,442
1294,1,16126,12962
1295,-1,14324,10742
1296,1,2118,287
1297,-1,13184,9241
1298,1,12119,6081
1299,-1,9212,9699
1300,1,32676,32498
1301,1,550,64
1302,1,20000,18733
1303,-1,28538,28793
1304,-1,9648,7424
1305,-1,25593,23199
1306,-1,29637,28999
1307,1,15299,14633
1308,1,16692,15208
1309,-1,21712,20512
1310,-1,31727,31500
1311,1,17053,16577
1312,-1,32168,31782
