n,url,label
33,"Les_ordinateurs_personnels_ne_sont_pas_assez_s%C3%A9curis%C3%A9s_pour_le_vote_%C3%A9lectronique","Les ordinateurs personnels ne sont pas bien sécurisés"
34,"Le_vote_%C3%A9lectronique_incite_les_jeunes_%C3%A0_voter","Une mesure incitative pour les jeunes"
35,"Le_vote_%C3%A9lectronique_favorise_la_participation_aux_%C3%A9lections","Le vote électronique favorise la participation aux élections"
36,"Le_vote_%C3%A9lectronique_facilite_le_vote_pour_les_personnes_malades_ou_handicap%C3%A9es","Un accès facilité pour les personnes malades ou handicapées"
37,"Le_vote_%C3%A9lectronique_facilite_le_vote_pour_les_personnes_%C3%A0_l%27%C3%A9tranger","Un accès facilité pour les personnes à l'étranger"
38,"Le_vote_%C3%A9lectronique_facilite_le_vote_pour_tous","Une plus grande accessibilité pour tous"
39,"Le_vote_%C3%A9lectronique_permet_un_plus_grand_confort_de_vote","Un plus grand confort de vote"
40,"Le_vote_%C3%A9lectronique_permet_de_r%C3%A9duire_l%27abstention","Une réduction de l'abstention"
41,"Le_vote_%C3%A9lectronique_pose_des_difficult%C3%A9s_pour_les_personnes_%C3%A2g%C3%A9es_ou_peu_%C3%A0_l%27aise_avec_la_technologie","Des difficultés supplémentaires pour les personnes peu à l'aise avec la technologie"
42,"Le_vote_%C3%A9lectronique_allonge_le_temps_d%27attente_aux_bureaux_de_vote","Un temps d'attente plus long aux bureaux de vote"
43,"Le_vote_%C3%A9lectronique_a_suscit%C3%A9_un_faible_taux_de_participation_dans_les_exp%C3%A9riences_men%C3%A9es","Un faible taux de participation électronique dans les expériences menées"
44,"leaf_7","Le capitalisme a mené au fascisme"
45,"Le_capitalisme_est_le_meilleur_alli%C3%A9_de_la_d%C3%A9mocratie","Le capitalisme est le meilleur allié de la démocratie"
46,"leaf_8","Nous ne sommes pas en démocratie"
47,"Les_miracles_attestent_l%27intervention_directe_de_Dieu","Les miracles"
48,"Il_existe_des_interventions_divines","Il existe des interventions divines"
49,"Les_exp%C3%A9riences_mystiques_attestent_la_pr%C3%A9sence_de_Dieu","Les expériences mystiques"
50,"Les_manifestations_de_la_Providence_attestent_l%27intervention_de_Dieu","Les manifestations de la Providence"
51,"Les_R%C3%A9v%C3%A9lations_conserv%C3%A9es_dans_les_textes_sacr%C3%A9s_attestent_l%27intervention_de_Dieu","Les Révélations conservées dans les textes sacrés"
52,"leaf_9","Les prétendues interventions divines reposent sur des éléments de preuve qui ne sont pas fiables"
53,"leaf_10","Les prétendues interventions divines reposent sur une conception superstitieuse du monde"
54,"leaf_11","Ce qu'on attribue à des interventions divines relève de phénomènes naturels"
55,"En_octobre_1921_il_ne_voyait_pas_avec_plus_de_bonheur_les_ex%C3%A9cutions_de_Nicolas_II_et_de_Koltchak_que_l%27exil_de_Wrangel_et_de_D%C3%A9nikine","En octobre  1921 il ne voyait pas avec plus de bonheur  les exécutions  de Nicolas II et de Koltchak que l'exil de Wrangel et de Dénikine"
56,"L%C3%A9nine_%C3%A9tait_empli_d%27un_immense_d%C3%A9sir_de_vengeance","Lénine était empli d'un immense désir de vengeance"
57,"En_f%C3%A9vrier_1920_il_appela_%C3%A0_la_fin_des_ex%C3%A9cutions_capitales","En février 1920 il appela à la fin des exécutions capitales"
58,"La_libert%C3%A9_d%27expression_est_le_paravent_de_la_pers%C3%A9cution_des_plus_faibles","La liberté d'expression est le paravent de la persécution des plus faibles"
59,"La_libert%C3%A9_d%27expression_doit_%C3%AAtre_totale_pour_pouvoir_d%C3%A9noncer_les_abus","Pour pouvoir dénoncer les abus"
60,"La_critique_des_institutions_est_dangereuse","La critique des institutions est dangereuse"
61,"Le_capitalisme_cognitif_est_relativement_marginal_%C3%A0_l%27%C3%A9chelle_mondiale","Une forme de capitalisme marginale à l'échelle mondiale"
62,"Le_revenu_de_base_est_un_mode_de_r%C3%A9tribution_adapt%C3%A9_au_capitalisme_cognitif","Adaptée au capitalisme cognitif"
63,"Le_capitalisme_cognitif_est_relativement_marginal_au_sein_des_pays_d%C3%A9velopp%C3%A9s","Une forme de capitalisme marginale même dans les pays à la pointe du développement"
64,"Les_ouvriers_ont_leur_petit_confort","Les ouvriers ont leur petit confort"
65,"Les_ouvriers_se_sont_embourgeois%C3%A9s","Les ouvriers se sont embourgeoisés"
66,"leaf_12","Les ouvriers ne cherchent qu'à consommer"
67,"leaf_13","Les ouvriers ne cherchent qu'à s'intégrer et s'élever individuellement"
68,"Des_millions_d%27ouvriers_vivent_encore_l%27exploitation,_m%C3%AAme_dans_les_pays_les_plus_riches","Des millions d'ouvriers vivent encore l'exploitation, même dans les pays les plus riches"
69,"leaf_14","Faire de nécessité vertu"
70,"Le_revenu_de_base_est_une_mesure_adapt%C3%A9e_%C3%A0_la_situation_de_ch%C3%B4mage_de_masse","Adaptée à la situation de chômage de masse"
71,"Le_ch%C3%B4mage_n%27est_pas_une_loi_naturelle","Le chômage n'est pas une loi naturelle"
72,"Il_est_possible_de_r%C3%A9duire_le_taux_de_ch%C3%B4mage_dans_les_pays_industrialis%C3%A9s","Une réduction du chômage est possible"
73,"Le_pouvoir_politique_est_influenc%C3%A9_par_le_pouvoir_%C3%A9conomique_en_France","Le pouvoir politique est influencé par le pouvoir économique"
74,"Les_pouvoirs_l%C3%A9gislatif,_ex%C3%A9cutif_et_l%C3%A9gislatif_sont_ind%C3%A9pendants_en_France","Il y a séparation des pouvoirs"
75,"leaf_15","La majorité parlementaire est au service des désidératas du président de la république~du chef de l'Etat et la justice est accusée d'être instrumentalisée."
76,"Les_surcapacit%C3%A9s_d%E2%80%99incin%C3%A9ration_conduisent_%C3%A0_des_importations_de_d%C3%A9chets","Les surcapacités d’incinération conduisent à des importations de déchets"
77,"Un_%C3%A9quipement_disproportionn%C3%A9_par_rapport_au_territoire","Un équipement disproportionné par rapport au territoire"
78,"Manger_des_animaux_est_un_plaisir_%C3%A9go%C3%AFste","Un plaisir égoïste"
79,"Manger_des_animaux_est_un_plaisir_gustatif","Manger des animaux est un plaisir gustatif"
80,"L%C3%A9nine_a_maintes_fois_soulign%C3%A9_l%27absence_du_droit_%C3%A0_une_information_pluraliste_du_fait_de_la_d%C3%A9tention_des_journaux_non_bolcheviks_par_des_milliardaires","Lénine a maintes fois souligné l'absence du droit à une information pluraliste du fait de la détention des journaux non bolcheviks par des milliardaires"
81,"L%C3%A9nine_a_interdit_les_partis_et_journaux_d%27opposition","Lénine a interdit les partis et journaux d'opposition"
82,"leaf_16","Le capitalisme connait des crises économiques à répétition"
83,"Le_capitalisme_est_amen%C3%A9_%C3%A0_s%27effondrer","Le capitalisme est amené à s'effondrer"
84,"leaf_17","Le capitalisme repose sur l'illusion d'une croissance infinie"
85,"leaf_18","Tous les pays capitalistes ont pratiqué la terreur : répressions d'opposants par des dictatures militaires, guerres coloniales par les démocraties occidentales"
86,"Le_dimanche_rouge_de_janvier_1905_c%27est_la_terreur_du_r%C3%A9gime_tsariste_qui_tire_sur_la_foule_pacifique_venue_demander_du_pain_et_la_d%C3%A9mocratie.","Le dimanche rouge de janvier 1905 c'est la terreur du régime tsariste qui tire sur la foule pacifique venue demander du pain et la démocratie."
87,"Des_co%C3%BBts_de_production_%C3%A9lev%C3%A9s","Des coûts de production élevés"
88,"Diminuer_le_co%C3%BBt_de_traitement_des_d%C3%A9chets","Diminuer le coût de traitement des déchets"
89,"Des_co%C3%BBts_%C3%A9lev%C3%A9s_de_gestion_des_m%C3%A2chefers","Des coûts élevés de gestion des mâchefers"
90,"Un_rendement_%C3%A9lectrique_faible","Un rendement électrique faible"
91,"La_valorisation_des_m%C3%A2chefers_est_controvers%C3%A9e","La valorisation des mâchefers est controversée"
92,"Il_faut_limiter_la_libert%C3%A9_d%27expression_pour_lutter_contre_la_pornographie","Contre la pornographie"
93,"Il_faut_limiter_la_libert%C3%A9_d%27expression_pour_lutter_contre_les_contenus_choquants","Pour lutter contre les contenus choquants"
94,"Il_faut_limiter_la_libert%C3%A9_d%27expression_pour_lutter_contre_le_blasph%C3%A8me","Contre le blasphème"
95,"Il_faut_limiter_la_libert%C3%A9_d%27expression_pour_lutter_contre_la_p%C3%A9dophilie","Contre la pédophilie"
96,"Il_faut_limiter_la_libert%C3%A9_d%27expression_pour_lutter_contre_l%27ultraviolence","Contre l'ultraviolence"
97,"Il_faut_limiter_la_libert%C3%A9_d%27expression_pour_lutter_contre_les_contenus_portant_atteinte_%C3%A0_la_dignit%C3%A9_humaine","Contre les contenus portant atteinte à la dignité humaine"
98,"Chacun_doit_accepter_d%27%C3%AAtre_choqu%C3%A9_dans_une_soci%C3%A9t%C3%A9_plurielle","Dans une société plurielle, chacun doit accepter d'être choqué"
99,"La_cr%C3%A9ation_ne_doit_avoir_aucune_limite","La création ne doit avoir aucune limite"
100,"Il_faut_limiter_la_libert%C3%A9_d%27expression_pour_respecter_les_droits_d%27auteur","Par les droits d'auteur"
101,"Il_faut_limiter_la_libert%C3%A9_d%27expression_pour_respecter_la_propri%C3%A9t%C3%A9_intellectuelle","Pour respecter la propriété intellectuelle"
102,"leaf_19","Par les brevets"
103,"Le_sexisme_est_omnipr%C3%A9sent","Le sexisme est omniprésent"
104,"Les_hommes_ne_peuvent_rester_indiff%C3%A9rents_face_aux_discriminations_et_aux_violences_faites_aux_femmes","Les hommes ne peuvent rester indifférents face aux discriminations et aux violences faites aux femmes"
105,"Les_hommes_ne_peuvent_pas_ne_pas_voir_les_violences_et_les_discriminations_sexistes","Les hommes ne peuvent pas ne pas voir les violences et les discriminations sexistes"
106,"Les_hommes_ne_peuvent_rester_insensibles_au_sort_r%C3%A9serv%C3%A9_%C3%A0_une_moiti%C3%A9_de_l%27humanit%C3%A9","Les hommes ne peuvent rester insensibles au sort réservé à une moitié de l'humanité"
107,"Les_hommes_ont_le_devoir_de_r%C3%A9parer_les_injustices_dont_ils_sont_les_auteurs","Les hommes ont le devoir de réparer les injustices dont ils sont les auteurs"
108,"leaf_20","Les hommes sont socialisés pour être égoïstes"
109,"Les_hommes_sont_socialis%C3%A9s_pour_%C3%AAtre_indiff%C3%A9rents_%C3%A0_la_souffrance","Les hommes sont socialisés pour être indifférents à la souffrance"
110,"leaf_21","Les hommes sont socialisés pour se sentir supérieurs aux femmes"
111,"leaf_22","Les hommes sont socialisés pour déshumaniser les femmes"
112,"leaf_23","La solidarité masculine est construite sur le dénigrement et l'exclusion des femmes"
113,"leaf_24","Les migrants représentent un coût important"
114,"Gr%C3%A2ce_aux_migrants,_l%27activit%C3%A9_repart","Grâce aux migrants, l'activité repart"
115,"Les_injures_ne_sont_pas_des_actes","Les injures ne sont pas des actes"
116,"Il_faut_limiter_la_libert%C3%A9_d%27expression_pour_lutter_contre_les_propos_injurieux","Pour lutter contre les propos injurieux"
117,"Chacun_doit_prendre_sur_soi_face_aux_injures","Chacun doit prendre sur soi"
118,"Il_est_dangereux_de_trop_l%C3%A9gif%C3%A9rer_dans_les_relations_priv%C3%A9es","Il est dangereux de trop légiférer dans les relations privées"
119,"La_notion_d%27injure_est_floue","La notion d'injure est floue"
120,"Il_faut_distinguer_entre_les_injures_%C3%A0_des_personnes_physiques_et_les_injures_%C3%A0_des_personnes_morales","Il faut distinguer personnes physiques et personnes morales"
121,"leaf_25","Une stimulation de l'activité"
122,"Le_salaire_%C3%A0_vie_n%27incite_pas_%C3%A0_%C3%AAtre_productif","Une incitation insuffisante à la productivité"
123,"Des_mesures_peuvent_%C3%AAtre_prises_pour_s%27assurer_que_les_t%C3%A2ches_essentielles_soient_effectu%C3%A9es_dans_une_soci%C3%A9t%C3%A9_avec_un_salaire_%C3%A0_vie","Des mesures peuvent être prises pour s'assurer que les tâches essentielles sont effectuées"
124,"leaf_26","Le fait de manger des animaux existe depuis bien longtemps"
125,"Tout_le_monde_peut_adopter_une_alimentation_v%C3%A9g%C3%A9tale","Tout le monde peut adopter une alimentation végétale"
126,"L%C3%A9nine_a_violemment_r%C3%A9prim%C3%A9_les_ouvriers_de_Toula_au_printemps_1919","À Toula"
127,"L%C3%A9nine_a_violemment_r%C3%A9prim%C3%A9_les_ouvriers_au_printemps_1919","Au printemps 1919"
128,"L%C3%A9nine_a_violemment_r%C3%A9prim%C3%A9_les_ouvriers_d%27Astrakhan_au_printemps_1919","À Astrakhan"
129,"L%C3%A9nine_a_violemment_r%C3%A9prim%C3%A9_les_ouvriers_des_usines_Poutilov_au_printemps_1919","Dans les usines Poutilov"
130,"L%C3%A9nine_a_encourag%C3%A9_les_actes_de_terreur","Lénine a encouragé les actes de terreur"
131,"L%C3%A9nine_a_th%C3%A9oris%C3%A9_et_revendiqu%C3%A9_la_terreur_de_masse","Lénine a théorisé et revendiqué la terreur de masse"
132,"L%C3%A9nine_donnait_personnellement_les_ordres","Lénine donnait personnellement les ordres"
133,"L%C3%A9nine_a_fait_l%27%C3%A9loge_de_la_terreur","Lénine a fait l'éloge de la terreur"
134,"L%C3%A9nine_a_th%C3%A9oris%C3%A9_la_dictature","Lénine a théorisé la dictature"
135,"L%C3%A9nine_a_justifi%C3%A9_th%C3%A9oriquement_la_terreur","Lénine a justifié théoriquement la terreur"
136,"La_terreur_est_intrins%C3%A8que_au_l%C3%A9ninisme","La terreur est intrinsèque au léninisme"
137,"La_Premi%C3%A8re_Guerre_mondiale_a_brutalis%C3%A9_la_pens%C3%A9e_de_L%C3%A9nine","La Première Guerre mondiale a brutalisé la pensée de Lénine"
138,"Les_vaccins_ont_%C3%A9radiqu%C3%A9_la_variole","Les vaccins ont éradiqué la variole"
139,"Les_vaccins_peuvent_%C3%A9radiquer_d%C3%A9finitivement_certaines_maladies","Les vaccins peuvent éradiquer définitivement certaines maladies"
140,"Les_vaccins_sont_en_passe_d%27%C3%A9radiquer_la_polio","Les vaccins sont en passe d'éradiquer la polio"
141,"La_rougeole,_les_oreillons_et_la_rub%C3%A9ole_sont_potentiellement_%C3%A9radicables","La rougeole, les oreillons et la rubéole sont potentiellement éradicables"
142,"On_peut_limiter_la_propagation_de_certaines_opinions","On peut limiter la propagation de certaines opinions"
143,"On_ne_peut_pas_emp%C3%AAcher_les_gens_de_penser_ce_qu%27ils_veulent","On ne peut pas empêcher les gens de penser ce qu'ils veulent"
144,"Ce_qui_est_dangereux_n%27est_pas_la_pens%C3%A9e_mais_l%27expression_publique_des_pens%C3%A9es","Ce qui est dangereux n'est pas la pensée mais l'expression publique des pensées"
145,"Le_Front_national_est_un_parti_patriote","Patriotisme n'est pas nationalisme"
146,"Le_Front_national_est_un_parti_nationaliste","Le FN est un parti nationaliste"
147,"Le_Front_national_est_un_parti_national-populiste","Le FN est juste un parti national-populiste"
148,"Le_vote_%C3%A9lectronique_permet_de_r%C3%A9aliser_des_%C3%A9conomies_de_papier_et_d%27urnes","Des économies de papier et d'urnes"
149,"Le_vote_%C3%A9lectronique_diminue_l%27empreinte_%C3%A9cologique_du_vote","Le vote électronique diminue l'empreinte écologique du vote"
150,"Le_vote_%C3%A9lectronique_permet_de_diminuer_les_d%C3%A9penses_%C3%A9nerg%C3%A9tiques_li%C3%A9es_au_transport","Moins de transport pour aller voter"
151,"La_fabrication_et_le_recyclage_des_machines_%C3%A0_voter_et_des_serveurs_n%C3%A9cessaires_ont_un_co%C3%BBt_%C3%A9cologique","La fabrication et le recyclage des machines et des serveurs ont un coût écologique"
152,"L%27introduction_anticip%C3%A9e_de_la_Nep_n%27aurait_pas_pu_permettre_d%27apaiser_les_mutins_de_Kronstadt","L'introduction anticipée de la Nep n'aurait pas pu permettre d'apaiser les mutins de Kronstadt"
153,"Les_bolch%C3%A9viks_ont_commis_des_erreurs_concernant_le_soul%C3%A8vement_des_marins_de_Kronstadt","Les bolchéviks ont commis des erreurs"
154,"Les_bolch%C3%A9viques_n%27avaient_d%27autre_choix_que_de_r%C3%A9primer_la_r%C3%A9volte_de_Kronstadt","Les bolchéviques n'avaient d'autre choix que de réprimer la révolte de Kronstadt"
155,"Les_%C2%AB_erreurs_%C2%BB_des_bolch%C3%A9viques_vis-%C3%A0-vis_de_la_r%C3%A9volte_de_Kronstadt_n%27apparaissent_qu%27apr%C3%A8s_coup","Les « erreurs » n'apparaissent qu'après coup"
156,"Ceux_qui_cherchent_%C3%A0_prescrire_apr%C3%A8s_coup_d%27autres_itin%C3%A9raires_%C3%A0_la_R%C3%A9volution_russe_sont_des_raisonneurs_en_pantoufles","Ceux qui cherchent à prescrire après coup d'autres itinéraires à la Révolution russe sont des raisonneurs en pantoufles"
157,"D%27apr%C3%A8s_les_d%C3%A9finitions_ci-dessus,_le_Front_national_est_donc_bien_un_parti_nationaliste","D'après les définitions ci-dessus, le Front national est donc bien un parti nationaliste"
158,"Faut-il_pr%C3%A9server_les_Murs_%C3%A0_p%C3%AAches_de_Montreuil_%3F","Faut-il préserver les Murs à pêches de Montreuil ?"
159,"sitemap",""
160,"Le_r%C3%A9chauffement_climatique_est-il_d%C3%BB_%C3%A0_l%27activit%C3%A9_humaine_%3F","Le réchauffement climatique est-il dû à l'activité humaine ?"
161,"Faut-il_arr%C3%AAter_de_manger_des_animaux_%3F","Faut-il arrêter de manger des animaux ?"
162,"Faut-il_instaurer_un_revenu_de_base_%3F","Faut-il instaurer un revenu de base ?"
163,"Faut-il_instaurer_un_salaire_%C3%A0_vie_%3F","Faut-il instaurer un salaire à vie ?"
164,"Le_n%C3%A9olib%C3%A9ralisme_va-t-il_s%27effondrer_%3F","Le néolibéralisme va-t-il s'effondrer ?"
165,"Pour_ou_contre_le_capitalisme_%3F","Pour ou contre le capitalisme ?"
166,"La_m%C3%A9thode_C%C3%A9line_Alvarez_r%C3%A9volutionne-t-elle_l%27%C3%A9cole_maternelle_%3F","La méthode Céline Alvarez révolutionne-t-elle l'école maternelle ?"
167,"L%27Europe_occidentale_est-elle_en_d%C3%A9clin_%3F","L'Europe occidentale est-elle en déclin ?"
168,"L%C3%A9nine_est-il_le_pr%C3%A9curseur_de_Staline_%3F","Lénine est-il le précurseur de Staline ?"
169,"La_libert%C3%A9_d%27expression_doit-elle_%C3%AAtre_limit%C3%A9e_%3F","La liberté d'expression doit-elle être limitée ?"
170,"Sommes-nous_libres_de_nos_d%C3%A9cisions_%3F","Sommes-nous libres de nos décisions ?"
171,"Sommes-nous_en_d%C3%A9mocratie_%3F","3. Une baisse globale de la qualité de la vie"
172,"Le_Front_national_est-il_un_parti_fasciste_%3F","Le Front national est-il un parti fasciste ?"
173,"L%27extr%C3%AAme-gauche_doit-elle_lutter_contre_l%27islamophobie_%3F","L'extrême-gauche doit-elle lutter contre l'islamophobie ?"
174,"Faut-il_g%C3%A9n%C3%A9raliser_le_vote_%C3%A9lectronique_%3F","Faut-il généraliser le vote électronique ?"
175,"Pour_ou_contre_le_projet_de_loi_Collomb_Asile_et_immigration_%3F","Pour ou contre le projet de loi Collomb Asile et immigration ?"
176,"Pour_ou_contre_le_communisme_%3F","Pour ou contre le communisme ?"
177,"Faut-il_accueillir_davantage_de_migrants_%3F","Faut-il accueillir davantage de migrants ?"
178,"Dieu_existe-t-il_%3F","Dieu existe-t-il ?"
179,"La_croyance_en_Dieu_est-elle_b%C3%A9n%C3%A9fique_%3F","La croyance en Dieu est-elle bénéfique ?"
180,"Les_religions_se_rejoignent-elles_%3F","Les religions se rejoignent-elles ?"
181,"Une_spiritualit%C3%A9_rationnelle_est-elle_possible_%3F","Une spiritualité rationnelle est-elle possible ?"
182,"Faut-il_se_faire_vacciner_%3F","Faut-il se faire vacciner ?"
183,"Faut-il_d%C3%A9p%C3%A9naliser_le_cannabis_%3F","Faut-il dépénaliser le cannabis ?"
184,"Les_footballeurs_professionnels_sont-ils_trop_pay%C3%A9s_%3F","Les footballeurs professionnels sont-ils trop payés ?"
185,"Faut-il_pr%C3%A9f%C3%A9rer_les_logiciels_libres_%3F","Faut-il préférer les logiciels libres ?"
186,"Le_logiciel_libre_est-il_en_d%C3%A9clin_%3F","Le logiciel libre est-il en déclin ?"
187,"Faut-il_boycotter_Facebook_%3F","Faut-il boycotter Facebook ?"
188,"Dieu_existe-t-il_%3F_(nouvelle_version)","Dieu existe-t-il ? (nouvelle version)"
189,"Espaces_ou_tabulations_%3F","Espaces ou tabulations ?"
190,"Faut-il_incin%C3%A9rer_les_d%C3%A9chets_m%C3%A9nagers_%C3%A0_La_R%C3%A9union_%3F","Faut-il incinérer les déchets ménagers à La Réunion ?"
191,"Faut-il_l%C3%A9galiser_le_cannabis_%3F","Faut-il légaliser le cannabis ?"
192,"Faut-il_privatiser_ADP_%3F","Faut-il privatiser ADP ?"
193,"Faut-il_r%C3%A9guler_l%27anonymat_sur_Internet_%3F","Faut-il réguler l'anonymat sur Internet ?"
194,"Faut-il_supprimer_les_fronti%C3%A8res_%3F_(nouveau)","Faut-il supprimer les frontières ? (nouveau)"
195,"La_classe_ouvri%C3%A8re_est-elle_la_seule_classe_r%C3%A9volutionnaire_%3F","La classe ouvrière est-elle la seule classe révolutionnaire ?"
196,"La_gauche_doit-elle_d%C3%A9fendre_le_port_du_voile_islamique_%3F","La gauche doit-elle défendre le port du voile islamique ?"
197,"La_libert%C3%A9_d%27expression_doit-elle_%C3%AAtre_totale_%3F","La liberté d'expression doit-elle être totale ?"
198,"La_religion_est-elle_compatible_avec_le_marxisme_%3F","La religion est-elle compatible avec le marxisme ?"
199,"Le_nationalisme_est-il_dangeureux_%3F","Le nationalisme est-il dangeureux ?"
200,"Le_nucl%C3%A9aire_est-il_une_%C3%A9nergie_d%27avenir_%3F","Le nucléaire est-il une énergie d'avenir ?"
201,"Les_biens_communs_sont-ils_un_mod%C3%A8le_d%27avenir_%3F","Les biens communs sont-ils un modèle d'avenir ?"
202,"Les_hommes_doivent-ils_rejoindre_le_combat_f%C3%A9ministe_%3F","Les hommes doivent-ils rejoindre le combat féministe ?"
203,"Peut-on_changer_le_monde_sans_prendre_le_pouvoir_%3F","Peut-on changer le monde sans prendre le pouvoir ?"
204,"Qui_de_j%C3%A9sus_et_de_Mohammed_est_le_sauveur_de_l%27humanit%C3%A9_tout_enti%C3%A8re_%3F","Qui de jésus et de Mohammed est le sauveur de l'humanité tout entière ?"
205,"Wikip%C3%A9dia_est-elle_fiable_%3F","Wikipédia est-elle fiable ?"
206,"Gaspillage_des_ressources","Gaspillage des ressources"
207,"L%27efficacit%C3%A9_est_une_notion_subjective","L'efficacité est une notion subjective"
208,"leaf_27","Répartition des ressources vitales inefficace"
209,"leaf_28","Persistance des inégalités de capital économique"
210,"Le_revenu_de_base_permet_de_r%C3%A9duire_les_in%C3%A9galit%C3%A9s","Une réduction des inégalités"
211,"leaf_29","Persistance des inégalités de capital culturel"
212,"leaf_30","C'est la redistribution des richesses qu'il faut modifier"
213,"leaf_31","Accentuation des inégalités entre pays riches et pays pauvres"
214,"Le_revenu_de_base_creusera_les_in%C3%A9galit%C3%A9s_entre_ceux_qui_travailleront_et_ceux_qui_ne_travailleront_pas","Accentuation des inégalités entre travailleurs et chômeurs"
215,"leaf_32","Seul un financement par l'impôt direct réduit les inégalités"
216,"Le_travail_intellectuel_est_de_plus_en_plus_sp%C3%A9cialis%C3%A9","Le travail intellectuel est de plus en plus spécialisé"
217,"La_prol%C3%A9tarisation_du_travail_intellectuel_repose_sur_l%27ali%C3%A9nation_du_travail_intellectuel","La prolétarisation du travail intellectuel repose sur l'aliénation du travail intellectuel"
218,"leaf_33","L'expérience commune du réel est stable"
219,"Le_monde_n%27est_pas_ordonn%C3%A9_mais_chaotique","Le monde n'est pas ordonné mais chaotique"
220,"leaf_34","Si le monde était chaotique, il n'y aurait pas de langage pour en parler"
221,"leaf_35","Les prédictions scientifiques montrent que le monde se conforme à des lois"
