n,url,label,description
15,"el-sistema-democratico-representstivo-es-capaz-de-proveer-solucion-a-todos-los-desafios-existenciales-sociales?partial=33375&level=0","Los desafíos de sustentabilidad de la humanidad son la otra cara de la moneda de un crecimiento poblacional a velocidad excesiva. Y las únicas sociedades que controlaron eficientemente sus nivel de población, lo hicieron no en democracia si no en tiranías o dictaduras militares.",""
16,"el-sistema-democratico-representstivo-es-capaz-de-proveer-solucion-a-todos-los-desafios-existenciales-sociales?partial=33379&level=0","A pesar de las redes sociales, las campañas políticas que permiten hacerse con el poder requieren un gasto enorme de dinero en campaña publicitaria.",""
17,"hay-vida-despues-de-la-muerte?partial=28379&level=0","Sigues siendo parte de la vida de otros organismos.",""
18,"hay-vida-despues-de-la-muerte?partial=29438&level=0","No hay pruebas que la vida después de la vida se existe. Por lo tanto no hay razón para creerla.",""
19,"la-accion-colectiva-esta-orientada-por-relaciones-sociales?partial=26000&level=0","depende de intensiones, recursos y limites",""
20,"la-lectura-es-una-actividad-que-requiere-esfuerzo-y-concentracion?partial=30658&level=0","La formación y la práctica continuada pueden transformar estos en disfrute y delectación",""
21,"la-renta-basica-universal-incondicional-es-aplicable-en-espana?partial=19895&level=0","Se lograría con un único tipo impositivo del 49% y una renta básica exenta de impuestos.",""
22,"la-renta-basica-universal-incondicional-es-aplicable-en-espana?partial=19896&level=0","Supondría el 21% del PIB español, anualmente.",""
23,"la-renta-basica-universal-incondicional-es-aplicable-en-espana?partial=19897&level=0","Atraería a inmigrantes de baja cualificación.",""
24,"la-renta-basica-universal-incondicional-es-aplicable-en-espana?partial=19898&level=0","La gente no querría trabajar.",""
25,"la-renta-basica-universal-incondicional-es-aplicable-en-espana?partial=19899&level=0","Es una medida justa y necesaria ante el inevitable desempleo tecnológico que ya empieza a ser indiscutible.",""
26,"la-renta-basica-universal-incondicional-es-aplicable-en-espana?partial=30659&level=0","Es viable pero siempre que las tasas impositivos se carguen sobre el capital y no sobre las rentas de trabajo",""
27,"la-tierra-es-plana?partial=28377&level=0","Muchos experimentos demuestran la falta de curvatura de la tierra.",""
28,"la-tierra-es-plana?partial=29439&level=0","El experimento del griego antiguo Eratosthenes demostró, usando las sombras de ramas a lugares diferentes en la tierra, que el mundo no es plano.",""
29,"vivir-es-ir-perdiendo-terreno?partial=30864&level=0","A partir del nacimiento, vamos perdiendo terreno ante la amenaza de la muerte.",""
30,"el-objetivo-de-nuestra-especie-podria-ser-la-investigacion?partial=28384&level=0","Nuestro instinto nos conduce a esta idea, ya que la acción de descubrir nos da felicidad, físicamente hablando libera neurotransmisores que nos hacen sentir felices.La investigación satisface nuestro deseo de descubrir, pero no nos es útil para la subsistencia de la especie (no a priori)",""
31,"el-sentido-de-la-vida-es-42?partial=28381&level=0","Necesitarias argumentar tu posición de forma extensa",""
32,"el-sistema-democratico-representstivo-es-capaz-de-proveer-solucion-a-todos-los-desafios-existenciales-sociales?partial=33367&level=0","Cualquier acción requiere convencer a una gran fracción de la población, o a integrantes de la clase política.",""
33,"el-sistema-democratico-representstivo-es-capaz-de-proveer-solucion-a-todos-los-desafios-existenciales-sociales?partial=33370&level=0","Están en marcha medidas muy efectivas contra el cambio climático como:0) El impuesto a la polución.1) La transición a la fisión nuclear.2) La electrificación del transporte.3) La ingeniería en la industria alimenticia y el cambio de dieta.",""
34,"el-sistema-democratico-representstivo-es-capaz-de-proveer-solucion-a-todos-los-desafios-existenciales-sociales?partial=33376&level=0","La idea del control poblacional es muy antipatica.Al ser antipática es difícil de propagar o inducir.",""
35,"el-sistema-democratico-representstivo-es-capaz-de-proveer-solucion-a-todos-los-desafios-existenciales-sociales?partial=33378&level=0","Las personas llegan a un punto de su vida donde buscan satisfacer sus requerimientos sociales a partir de la gestación de su propia familia en lugar de buscar satisfacer el requerimiento en vínculos con humanos preexistentes.",""
36,"el-sistema-democratico-representstivo-es-capaz-de-proveer-solucion-a-todos-los-desafios-existenciales-sociales?partial=33380&level=0","La población de los países ya no es de las dimensiones que era al plantearse el sistema.",""
37,"el-sistema-democratico-representstivo-es-capaz-de-proveer-solucion-a-todos-los-desafios-existenciales-sociales?partial=33385&level=0","Quién controla un gran capital posee un carácter meritorio que lo produjo y por ende quedaria mitigada la posibilidad del poder en manos de extremadamente ineptos.",""
38,"el-sistema-democratico-representstivo-es-capaz-de-proveer-solucion-a-todos-los-desafios-existenciales-sociales?partial=33393&level=0","Hay límites en cuanto a lo que una publicidad pagada puede lograr. La gente no es tan inducible.",""
39,"hay-vida-despues-de-la-muerte?partial=28380&level=0","Es algo complejo de acatar, los procesos mentales dejan de existir al momento de la muerte, y esto es un argumento en contra de la premisa. Por otra parte no existe evidencia que avale o desacredite la existencia de un espiritu etereo, y como no existe forma de demostrarla, es absurdo investigar",""
40,"hay-vida-despues-de-la-muerte?partial=33185&level=0","Depende de si hablamos de nuestra vida o de la de los demás (¿los gusanos que te comen cuando mueres?)",""
41,"la-accion-colectiva-esta-orientada-por-relaciones-sociales?partial=26001&level=0","No es un fenomeno empirico unitario",""
42,"la-accion-colectiva-esta-orientada-por-relaciones-sociales?partial=28382&level=0","La premisa no es aplicable a la totalidad, sino a un porcentaje de la población, esto ademas es muy relativo puesto que depende de a que poblacion estamos referenciando, la cultura y el nivel promedio de la poblacion es un factor muy importante",""
43,"la-renta-basica-universal-incondicional-es-aplicable-en-espana?partial=31000&level=0","No hay incentivos",""
44,"la-renta-basica-universal-incondicional-es-aplicable-en-espana?partial=33186&level=0","Quien tiene el capital, no querría tenerlo en España para que no se lo quiten.",""
45,"vivir-es-ir-perdiendo-terreno?partial=30865&level=0","¿Podríamos preguntarnos si gana terreno la muerte o pierde terreno la vida?",""
46,"vivir-es-ir-perdiendo-terreno?partial=30866&level=0","¿Quién puede demostrar que no se trata de un progreso?",""
47,"el-objetivo-de-nuestra-especie-podria-ser-la-investigacion?partial=28385&level=0","Tomando como verdad que todo tiene una función especifica en la naturaleza, y puesto que la necesidad de descubrir en cierto punto no es útil para la supervivencia de la especie, podemos pensar que investigar a fondo todos los campos de la ciencia podría brindarnos una respuesta, el propósito",""
48,"el-sistema-democratico-representstivo-es-capaz-de-proveer-solucion-a-todos-los-desafios-existenciales-sociales?partial=33368&level=0","La población es muy susceptible a la influencia de los medios masivos de comunicación que son empresas con fines de lucro bajo control de grandes capitales.",""
49,"el-sistema-democratico-representstivo-es-capaz-de-proveer-solucion-a-todos-los-desafios-existenciales-sociales?partial=33369&level=0","La clase política persigue aprobación popular en busca de votos o puede arreisgarse accionando contrario a la opinión de su base de votantes si recibiera un soborno.",""
50,"el-sistema-democratico-representstivo-es-capaz-de-proveer-solucion-a-todos-los-desafios-existenciales-sociales?partial=33371&level=0","Llegan tarde y avanzan lento",""
51,"el-sistema-democratico-representstivo-es-capaz-de-proveer-solucion-a-todos-los-desafios-existenciales-sociales?partial=33377&level=0","Está motivación podría modulares a partir de la propagación de nuevos modos y modas.",""
52,"el-sistema-democratico-representstivo-es-capaz-de-proveer-solucion-a-todos-los-desafios-existenciales-sociales?partial=33381&level=0","Hay representantes distritales vinculados a subpoblaciones de dimensión moderada y accesible en ausencia de grandes capitales para publicidad.",""
53,"el-sistema-democratico-representstivo-es-capaz-de-proveer-solucion-a-todos-los-desafios-existenciales-sociales?partial=33383&level=0","Una subpoblación podría buscar separarse y lograr su independencia.",""
54,"el-sistema-democratico-representstivo-es-capaz-de-proveer-solucion-a-todos-los-desafios-existenciales-sociales?partial=33386&level=0","Si el capital se hereda, su vínculo con un carácter meritorio se elimina.",""
55,"el-sistema-democratico-representstivo-es-capaz-de-proveer-solucion-a-todos-los-desafios-existenciales-sociales?partial=33388&level=0","Históricamente ha ocurrido que aquel mérito no se debe a un carácter progresista si no violento. Quienes se quedaban con el capital eran familias vinculadas a ejércitos conquistadores.O familias vinculadas a políticos corruptos.",""
56,"el-sistema-democratico-representstivo-es-capaz-de-proveer-solucion-a-todos-los-desafios-existenciales-sociales?partial=33394&level=0","La publicidad y la manipulación funcionan muy eficientemente.Caso contrario las empresas no resignation miles de millones, o una fracción muy importante de sus ingresos en publicidad. No existiría esa erogación si no hubiera un vínculo causa efecto real, medible, cuantificable.",""
57,"el-sistema-democratico-representstivo-es-capaz-de-proveer-solucion-a-todos-los-desafios-existenciales-sociales?partial=33372&level=0","Las redes sociales plantean la posibilidad de propagar masivamente ideas en ausencia de un soporte masivo de capital.",""
58,"el-sistema-democratico-representstivo-es-capaz-de-proveer-solucion-a-todos-los-desafios-existenciales-sociales?partial=33373&level=0","Internet provee herramientas para que los legisladores no sean más que transmisores de resoluciones obtenidas a partir de plataformas digitales de accesibilidad masiva y transformar el sistema en una gran democracia directa mediada por internet.",""
59,"el-sistema-democratico-representstivo-es-capaz-de-proveer-solucion-a-todos-los-desafios-existenciales-sociales?partial=33382&level=0","Sigue habiendo un gobierno central que determina el rumbo.",""
60,"el-sistema-democratico-representstivo-es-capaz-de-proveer-solucion-a-todos-los-desafios-existenciales-sociales?partial=33384&level=0","Las leyes de los países les permiten actuar con violencia de fuerzas armadas para reprimir el separatismo.",""
61,"el-sistema-democratico-representstivo-es-capaz-de-proveer-solucion-a-todos-los-desafios-existenciales-sociales?partial=33387&level=0","Se podría implementar un impuesto a la herencia que filtre la formación de dinastías.",""
62,"el-sistema-democratico-representstivo-es-capaz-de-proveer-solucion-a-todos-los-desafios-existenciales-sociales?partial=33389&level=0","Se ha estudiado que en promedio las riquezas familiares perduran por 3 generaciones y luego se diluyen.",""
63,"el-sistema-democratico-representstivo-es-capaz-de-proveer-solucion-a-todos-los-desafios-existenciales-sociales?partial=33374&level=0","Las redes sociales plantean la posibilidad de propagar ideas en ausencia del soporte de grandes capitales.",""
64,"el-sistema-democratico-representstivo-es-capaz-de-proveer-solucion-a-todos-los-desafios-existenciales-sociales?partial=33390&level=0","Por más que el poder político se encuentre indebidamente localizado en carácter transitorio, el resto de la civilización no tiene por qué transcurrir su existencia experimentando un mundo gobernado por ineptos de turno (ya sean de 3ra generacion o nuevos, la rotación no es relevante).",""
65,"el-sistema-democratico-representstivo-es-capaz-de-proveer-solucion-a-todos-los-desafios-existenciales-sociales?partial=33391&level=0","La idea de heredar al estado a la vez que este es percibido como un ente corrupto, ineficiente, produce o desmotivación en la producción de riqueza o por el contrario la emergencia de maniobras evasivas de la ley.",""
66,"el-sistema-democratico-representstivo-es-capaz-de-proveer-solucion-a-todos-los-desafios-existenciales-sociales?partial=33392&level=0","Se podría llegar a un equilibrio permitiendo un monto máximo heredable y el resto permitir delegar lo en fundaciones con objetivos que no planteen conflictos con los humanos supervivientes al heredador.",""
