n,url,label,description
20,"il-faudrait-supprimer-les-cotisations-retraites-pour-les-jeunes-de-moins-de-30-ans?partial=21878&level=0","Cela permettra de diminuer les charges, et de faciliter l'emploi des jeunes. (Environ 25% chez les moins de 25 ans)",""
21,"il-faudrait-supprimer-les-cotisations-retraites-pour-les-jeunes-de-moins-de-30-ans?partial=24909&level=0","Cela impliquerait que les plus de 30 ans cotisent plus si l'on veut garder les retraites au même niveau.",""
22,"il-faudrait-supprimer-les-cotisations-retraites-pour-les-jeunes-de-moins-de-30-ans?partial=33585&level=0","La cotisation retraite est une solidarité envers les ainés dans la réalité. On ne cotise pas pour soi mais pour les actuels retraités.",""
23,"il-faut-interdire-la-pratique-du-lancer-de-nain?partial=31118&level=0","La pratique du « lancer de nain » porte atteinte à la dignité de la personne lancée",""
24,"il-faut-interdire-la-pratique-du-lancer-de-nain?partial=31120&level=0","Si la personne lancée consent à cette pratique, cela signifie que cette pratique ne lui cause pas de tort.",""
25,"il-nexiste-pas-doutils-numerique-permettant-de-creer-un-theme-problematique-question-de-permettre-a-tous-de-particper-et-de-mettre-en-avant-les-interventions-les-plus-pertinentes-puis-de-prendre-des-decisions-a-partir-de-toute-la-participation?partial=20634&level=0","Plusieurs outils permettent de prendre des décision sur une formulation faite par des administrateurs",""
26,"il-nexiste-pas-doutils-numerique-permettant-de-creer-un-theme-problematique-question-de-permettre-a-tous-de-particper-et-de-mettre-en-avant-les-interventions-les-plus-pertinentes-puis-de-prendre-des-decisions-a-partir-de-toute-la-participation?partial=20635&level=0","Baztille et Stig s'en aprochent mais à l'echelle d'un pays, pas pour un écosystème ou une organisation qui a besoin de son outil",""
27,"il-nexiste-pas-doutils-numerique-permettant-de-creer-un-theme-problematique-question-de-permettre-a-tous-de-particper-et-de-mettre-en-avant-les-interventions-les-plus-pertinentes-puis-de-prendre-des-decisions-a-partir-de-toute-la-participation?partial=20641&level=0","Il existe des outils permettant à 'certains' de faire cela.Ce 'certains' se caractérisent généralement par : une petite quantité de personnes, à l'aise avec les outils informatiques, prêtes à s'exprimer publiquement sur certains sujets.Manque donc : scalibilité, accessibilité, sécurité.",""
28,"il-nexiste-pas-doutils-numerique-permettant-de-creer-un-theme-problematique-question-de-permettre-a-tous-de-particper-et-de-mettre-en-avant-les-interventions-les-plus-pertinentes-puis-de-prendre-des-decisions-a-partir-de-toute-la-participation?partial=20733&level=0","Est-il indispensable qu'un même outil réunisse débat et prise de décision ?",""
29,"la-liste-de-discussion-pour-lorganisation-du-processus-constituant-inter-ville-doit-etre-publique?partial=20769&level=0","cette liste concerne surtout l'organisation et si les gens s'yinscrivent pour recevoir des informations, le jour où cette liste sera très utilisée pour notre organisation, la plupart des gens se sentiront spamés et voudront qu'on les désinscrive, en masse probablement.",""
30,"la-liste-de-discussion-pour-lorganisation-du-processus-constituant-inter-ville-doit-etre-publique?partial=20770&level=0","l'organisation doit être transparente et accessible à qui veut.",""
31,"la-liste-de-discussion-pour-lorganisation-du-processus-constituant-inter-ville-doit-etre-publique?partial=20771&level=0","il n'y a rien à cacher.",""
32,"la-liste-de-discussion-pour-lorganisation-du-processus-constituant-inter-ville-doit-etre-publique?partial=20772&level=0","c'est le meilleur moyen pour un participant de regarder ce qui se passe sans avoir à s'abonner (grâce à l'accès aux archives publiques)",""
33,"lapero-de-rentree-existe?partial=22819&level=0","Je suis dispo semaine prochaine. Mercredi pour ne pas changer les vieilles habitudes?",""
34,"lapero-de-rentree-existe?partial=22822&level=0","Fab, phil et yannick ont plussoyé",""
35,"lapero-de-rentree-existe?partial=22849&level=0","Boris doit avoir une date pour s'organiser avec les autorités compétentes",""
36,"lapero-de-rentree-existe?partial=23644&level=0","Tout ceci ressemble à un monologue.",""
37,"le-cafe-est-bon-pour-la-sante?partial=29280&level=0","Le café contient de la caféine qui nous permet d'être plus productif",""
38,"le-cafe-est-bon-pour-la-sante?partial=31277&level=0","Boire trop de café peut conduire à des insomnies, et alors on rentre dans un cercle vicieux : on boit plus de café pour tenir la journée, ce qui nous empêche d'avoir un sommeil récupérateur la nuit.",""
39,"lenfer-est-pave-de-bonnes-intentions?partial=20602&level=0","On observe dans le mouvement des personnes qui veulent imposer leur idées pour le bien commun, mais rompent le processus d'intelligence collective",""
40,"lenfer-est-pave-de-bonnes-intentions?partial=23645&level=0","Ce proverbe est une opposition à 'La fin justifie les moyens'. Un objectif aussi noble soit-il n'efface pas les actes qui pourraient être commis en son nom.",""
41,"lenfer-est-pave-de-bonnes-intentions?partial=27424&level=0","Y'a que ceux qui font rien qui font pas de bêtise.",""
42,"arguman-devrait-creer-un-espace-prive?partial=33582&level=0","l'installation est difficile sans avoir un développeur expert à disposition, je sais, je l'ai essayé en suivant toutes les instructions méticuleusement, je n'ai pas encore réussi (mais je ne suis pas expert du sysadmin)",""
43,"creer-une-liste-de-diffusion-en-plus-de-la-liste-de-discussion-pour-lorganisation-du-processus-constituant-inter-ville?partial=20779&level=0","si on ne met que les sujet des débats et les décisions prises ça ne représente pas une masse de travailtrès importante (pas plus que de lire tous les mails échangéssur le fil de discussion pour en retirer les éléments importants)",""
44,"creer-une-liste-de-diffusion-en-plus-de-la-liste-de-discussion-pour-lorganisation-du-processus-constituant-inter-ville?partial=20782&level=0","j'ai toujours pu observer qu'il se trouve des volontaires pour ce travail. A défautde volontaires il est plus adapté de ne pas discuter via une liste de discussion(même si c'est conçu pour ça) mais via des outils numériques de débat.",""
45,"creer-une-liste-de-diffusion-en-plus-de-la-liste-de-discussion-pour-lorganisation-du-processus-constituant-inter-ville?partial=20784&level=0","il me semble que l'on peut limiter la possibilité d'échanger à travers la liste : seuls les administrateurs recevraient les messages. Sauf avis contraire des membres de cette liste, je serais donc pour qu'elle fonctionne comme un entonnoir administrateur - membres.",""
46,"en-grammaire-le-masculin-doit-etre-renomme-neutre?partial=33505&level=0","Le genre grammatical n'a aucun rapport avec le sexe d'un individu et ce caractère 'sexiste' n'existe pas en réalité",""
47,"il-faudrait-supprimer-les-cotisations-retraites-pour-les-jeunes-de-moins-de-30-ans?partial=23640&level=0","C'est partir du principe que le système actuel de retraite prendra fin un jour.",""
48,"il-faudrait-supprimer-les-cotisations-retraites-pour-les-jeunes-de-moins-de-30-ans?partial=23641&level=0","Le concept de la retraite par répartition n'est pas d'atteindre une égalité générationnelle, mais de répartir une portion des richesses créées a destination des retaités. Les jeunes toucheront les retraites payées par les travailleurs du futur.",""
49,"il-faudrait-supprimer-les-cotisations-retraites-pour-les-jeunes-de-moins-de-30-ans?partial=23642&level=0","La réduction des charges n’entraîne pas systématiquement de l'emploi (cf échec du pacte de compétitivité)",""
50,"il-faudrait-supprimer-les-cotisations-retraites-pour-les-jeunes-de-moins-de-30-ans?partial=23643&level=0","Favoriser l'emploi des 'jeunes' implique de défavoriser l'emploi des autres. Cela ne contribuerait donc pas à une réduction du chômage, mais simplement à discriminer les + de 30 ans à l'embauche.",""
51,"il-faut-interdire-la-pratique-du-lancer-de-nain?partial=31119&level=0","La pratique du « lancer de nain » réduit la personne lancée à un simple objet",""
52,"la-liste-de-discussion-pour-lorganisation-du-processus-constituant-inter-ville-doit-etre-publique?partial=20773&level=0","il n'y a pratiquement pas de trafic et si une personne qui s'intéresse aux commissions constitutions envoie un message, même vaguement pertinent, ça me semble plutôt un bien qu'un mal",""
53,"la-liste-de-discussion-pour-lorganisation-du-processus-constituant-inter-ville-doit-etre-publique?partial=20775&level=0","plus ces archives vont être volumineuses moins elles seront utilisables.",""
54,"la-liste-de-discussion-pour-lorganisation-du-processus-constituant-inter-ville-doit-etre-publique?partial=20776&level=0","il y a finalement très peu d'informations pertinentes / utiles à retirerdes échanges sur la liste de discussion : c'est principalement les décisions et lasynthèse des arguments.",""
55,"lapero-de-rentree-existe?partial=22820&level=0","Certains travaillent le jeudi",""
56,"lapero-de-rentree-existe?partial=22821&level=0","Plus personne ne va à myrys le mercredi soir",""
57,"le-cafe-est-bon-pour-la-sante?partial=33506&level=0","des fois ça a l'effet inverse",""
58,"lenfer-est-pave-de-bonnes-intentions?partial=20605&level=0","Il est toujours compliqué de se mettre à la place de l’autre, d’adopter son point de vue, ses connaissances, sa sensibilité.",""
59,"lenfer-est-pave-de-bonnes-intentions?partial=20606&level=0","Faire avancer un mouvement qui ne sait pas ce qu’il veut, où il va, comment y aller, avec quels outils, avec qui, contre qui, etc. nécessite parfois des éléments « moteurs ».",""
60,"creer-une-liste-de-diffusion-en-plus-de-la-liste-de-discussion-pour-lorganisation-du-processus-constituant-inter-ville?partial=20783&level=0","Pourquoi ne pas garder la liste de discussion (existante) pour les annonces et dédier le forum (existant) aux discussions ?",""
61,"il-faudrait-supprimer-les-cotisations-retraites-pour-les-jeunes-de-moins-de-30-ans?partial=24747&level=0","Faire travailler les jeunes est plus important que de faire travailler le reste de la population.",""
62,"il-faudrait-supprimer-les-cotisations-retraites-pour-les-jeunes-de-moins-de-30-ans?partial=24770&level=0","(réponse au sophisme)Ca n'est pas une conclusion. je n'ai pas dit 'la réduction des charges n'a pas d'effet', mais 'la réduction des charges n'entraine pas SYSTEMATIQUEMENT [...]'",""
63,"il-faudrait-supprimer-les-cotisations-retraites-pour-les-jeunes-de-moins-de-30-ans?partial=24773&level=0","(réponse au sophisme)Merci de vous renseigner sur le système de retraite avant de signaler un sophisme : c'est un système par répartition, et pas par capitalisation.",""
64,"il-faudrait-supprimer-les-cotisations-retraites-pour-les-jeunes-de-moins-de-30-ans?partial=24774&level=0","Il n'y a donc pas rupture d'égalité, parce qu'il n'y en a jamais eu. Toujours pas de sophisme ici.Vu autrement : les jeunes d'aujourd'hui, comme ceux d'avants, toucheront des retraites basées sur la productivité des jeunes.",""
65,"la-liste-de-discussion-pour-lorganisation-du-processus-constituant-inter-ville-doit-etre-publique?partial=20774&level=0","il est préférable de penser maintenant à une orga qui évite ceproblème plutôt que d'attendre qu'il y ait trop de monde sur la liste dediscussion car alors on aura des problèmes supplémentaires, du genre'comment faire migrer tant de personnes vers tel ou tel outil plusadapté ?'",""
66,"lenfer-est-pave-de-bonnes-intentions?partial=20607&level=0","On se rend compte que le problème est plus profond, de l'ordre du comportement humain : Les gens sont prompts à dénoncer critiquer quand chacun doit regarder d'abord en lui même 'pour accomplir des choses importantes, il faut trouver le courage de faire avancer son armée contre soit même'",""
67,"lenfer-est-pave-de-bonnes-intentions?partial=20612&level=0","Dans un mvt comme nuit debout, avancer c’est changer de cadre, voir loin, oser remettre en cause des choses, ce qui n’est pas facile : c’est abandonner son cadre de référence et son confort.",""
68,"creer-une-liste-de-diffusion-en-plus-de-la-liste-de-discussion-pour-lorganisation-du-processus-constituant-inter-ville?partial=20785&level=0","naturellement on va utiliser la liste de discussion pour débattre... donc il faut plutôt une liste de diffusion (qui ne permet pas aux destinataires de répondre).",""
69,"creer-une-liste-de-diffusion-en-plus-de-la-liste-de-discussion-pour-lorganisation-du-processus-constituant-inter-ville?partial=20786&level=0","cela laisse sans solutionle problème du trop-plein : un forum n'est pas un outil assez structurant pour éviter le trop-plein car les messages se suivent à la queue leu leu, parfois avec descontenus riches et denses, et on finit par s'y perdre...d'autant plus vite qu'il y aura de participants.",""
70,"il-faudrait-supprimer-les-cotisations-retraites-pour-les-jeunes-de-moins-de-30-ans?partial=24748&level=0","Les jeunes sont plus pauvres en moyenne que le reste de la population.",""
71,"il-faudrait-supprimer-les-cotisations-retraites-pour-les-jeunes-de-moins-de-30-ans?partial=24749&level=0","Les jeunes ont besoin de s'insérer dans la société",""
72,"il-faudrait-supprimer-les-cotisations-retraites-pour-les-jeunes-de-moins-de-30-ans?partial=24750&level=0","Les jeunes sont dans la 'force de l'âge', et ont donc plus d’énergie à dépenser que leurs aînés.",""
73,"il-faudrait-supprimer-les-cotisations-retraites-pour-les-jeunes-de-moins-de-30-ans?partial=24771&level=0","Le problème reste le même : favoriser des pauvres jeunes par rapport à d'autres pauvres ne réduit pas le nombre de pauvres. Et la suppression des cotisations retraites augmentera le problème de leur financement.",""
74,"il-faudrait-supprimer-les-cotisations-retraites-pour-les-jeunes-de-moins-de-30-ans?partial=24772&level=0","S'ils ont déjà plus d'énergie à dépenser, ils sont donc déjà avantagés à l'embauche, nul besoin d'en rajouter.",""
