,debate_name,debate_num,n,s
144, Dieu existe-t-il ? (nouvelle version),1,2176,L'hypothèse de Dieu est plus simple que l'hypothèse athéiste
145, Faut-il accueillir davantage de migrants ?,3,833, Les grandes migrations signent la fin du modèle social européen
146, Dieu existe-t-il ? (nouvelle version),1,2272,L'existence de la vie s'explique par des mécanismes physico-chimiques hasardeux
147, Faut-il supprimer les notes à l'école ?,18,277, Les notes sont injustes
148, Faut-il supprimer les notes à l'école ?,18,2547,Une note est toujours assortie de commentaires qui expliquent la note.
149, Le Front national est-il un parti fasciste ?,29,111, L'étude du fascisme fait partie de la formation des militants du Front national
150, Faut-il accueillir davantage de migrants ?,3,1907,C'est en accueillant des musulmans que l'on évite le soi-disant 'choc des civilisations'
151, Faut-il accueillir davantage de migrants ?,3,1016, N'accueillir que les migrants fortunés est scandaleux
152, Faut-il instaurer un revenu de base ?,9,1183, Il faut lutter contre les causes du chômage plutôt que d'instaurer un revenu de base
153, Faut-il instaurer un revenu de base ?,9,541, L'immigration est source de richesse
154, Lénine est-il le précurseur de Staline ?,28,1679," En Russie la grande Guerre et la guerre civile rapprochent encore plus les violences antisémites perpétrées par toutes les forces antibolcheviques, de la Shoah"
155, Les footballeurs professionnels sont-ils trop payés ?,36,295, Les salaires des footballeurs professionnels les plus élevés illusionnent sur le salaire de la majorité des joueurs
156, Le Front national est-il un parti fasciste ?,29,590, La dédiabolisation du Front national ne pourra être effective que lorsque le FN renoncera à son héritage fasciste
157, La classe ouvrière est-elle la seule classe révolutionnaire ?,21,2376,La classe ouvrière inclut les travailleurs intellectuels
158, Faut-il accueillir davantage de migrants ?,3,1549, Le solde migratoire de l'Europe est nul
159, Dieu existe-t-il ?,0,2051,
160, La liberté d'expression doit-elle être limitée ?,24,1262, L'interdiction du racisme est inefficace
161, Lénine est-il le précurseur de Staline ?,28,699, Lénine a théorisé et réalisé la dictature de la direction bolchévik
162, Faut-il légaliser le cannabis ?,11,647, La production clandestine de cannabis est à l'origine de nombreux incendies
163, La classe ouvrière est-elle la seule classe révolutionnaire ?,21,1485, Les étudiants sont des petits-bourgeois
164, Faut-il instaurer un revenu de base ?,9,72, Financer un revenu de base est irréaliste
165, Les religions se rejoignent-elles ?,38,285, Les religions poursuivent la même finalité
166, Lénine est-il le précurseur de Staline ?,28,1234, L'Assemblée constituante russe était moins démocratique que la démocratie des soviets
167, Dieu existe-t-il ? (nouvelle version),1,1176, Il existe un très grand nombre de planètes favorables à la vie
168, La classe ouvrière est-elle la seule classe révolutionnaire ?,21,1690, La proportion de travailleurs intellectuels intégrés dans la production a augmenté
169, Faut-il se faire vacciner ?,16,946, Les vaccins ont éradiqué la variole
170, La religion est-elle compatible avec le marxisme ?,27,2358,Les religions prônent la charité
171, Faut-il supprimer les frontières ? (nouveau),17,17, Faut-il supprimer les frontières ? (nouveau)
172, Le logiciel libre est-il en déclin ?,30,1596, Logiciel libre et open source sont deux désignations équivalentes
173, L'Europe occidentale est-elle en déclin ?,19,1812,Le président de la République est élu par les citoyens
174, Faut-il incinérer les déchets ménagers à La Réunion ?,8,1491, Les chiffres d'émission sont biaisés
175, La liberté d'expression doit-elle être limitée ?,24,476, Il faut opposer aux discours dangereux des contre-discours
176, Faut-il généraliser le vote électronique ?,7,971, Le vote électronique a un coût de formation et de communication aux citoyens
177, Faut-il boycotter Facebook ?,5,68, Facebook exploite les faiblesses de ses utilisateurs
178, Faut-il légaliser le cannabis ?,11,1576," Le tabac et l'alcool, licites, sont très attractifs"
179, Faut-il généraliser le vote électronique ?,7,449, Il existe des failles informatiques dans les systèmes de vote électronique
180, La gauche doit-elle défendre le port du voile islamique ?,23,1610, On ne peut pas comparer la situation des femmes voilées en France et dans les pays musulmans
181, Le réchauffement climatique est-il dû à l'activité humaine ?,34,914, Les rapports du GIEC sont approuvés par les principales académies des sciences
182, La classe ouvrière est-elle la seule classe révolutionnaire ?,21,1281, La classe ouvrière est seulement devenue invisible
183, Lénine est-il le précurseur de Staline ?,28,1382, Lénine a violemment réprimé les paysans en 1919
184, Dieu existe-t-il ?,0,2062,
185, La liberté d'expression doit-elle être limitée ?,24,1317, La lutte contre le racisme s'étend à tout et n'importe quoi
186, L'Europe occidentale est-elle en déclin ?,19,1913,Les personnes au pouvoir qui ne sont pas élues sont élues ou désignées par des élus
187, La classe ouvrière est-elle la seule classe révolutionnaire ?,21,576, La classe ouvrière a terrorisé la bourgeoisie à diverses reprises
188, Dieu existe-t-il ? (nouvelle version),1,2243,La cause première ne peut pas être matérielle
189, Lénine est-il le précurseur de Staline ?,28,1291, La décosaquisation menée par Lénine préfigure les opérations de dékoulakisation sous Staline
190, Faut-il arrêter de manger des animaux ?,4,2161,Un élevage respectueux de l'environnement est possible
191, Faut-il supprimer les frontières ? (nouveau),17,2487,L'homme est un citoyen du monde
192, La liberté d'expression doit-elle être totale ?,25,1358, La vérité progresse en démêlant les sophismes
193, Lénine est-il le précurseur de Staline ?,28,681, Lénine a fomenté le coup d'État d'Octobre 17
194, Dieu existe-t-il ? (nouvelle version),1,2424,Les miracles sont des phénomènes naturels rares mais expliquables par la science
195, Le réchauffement climatique est-il dû à l'activité humaine ?,34,670, La vapeur d'eau atmosphérique fait fortement diminuer l'effet de serre
196, Faut-il accueillir davantage de migrants ?,3,1032, On fait venir des milliers de personnes trop peu éduquées
197, Faut-il se faire vacciner ?,16,2197,Financement d’études truquées
198, La liberté d'expression doit-elle être totale ?,25,464, Il faut limiter la liberté d'expression pour lutter contre le cyberharcèlement
199, Faut-il arrêter de manger des animaux ?,4,1003, Manger des animaux conduit à infliger aux animaux d'élevage une violence source de nombreuses souffrances sur les cochons
200, Pour ou contre le capitalisme ?,40,1051, On retrouve des formes de marché dans toutes les sociétés humaines
201, Lénine est-il le précurseur de Staline ?,28,1677, En 1901 Lénine a seulement loué Robespierre comme un défenseur de la liberté de conscience puis en 1915 comme un antibelliciste
202, Faut-il instaurer un revenu de base ?,9,238, Le revenu de base est un mauvais combat politique
203, La classe ouvrière est-elle la seule classe révolutionnaire ?,21,1482, Les étudiants peuvent contribuer à la formation de cadres révolutionnaires au sein de la classe ouvrière
204, Faut-il généraliser le vote électronique ?,7,976, Le vote électronique incite les jeunes à voter
205, Pour ou contre le communisme ?,41,41, Pour ou contre le communisme ?
206, Lénine est-il le précurseur de Staline ?,28,683, Lénine a instauré la terreur dès son arrivée au pouvoir
207, Faut-il arrêter de manger des animaux ?,4,327, Manger des animaux est mauvais pour l'homme
208, La liberté d'expression doit-elle être limitée ?,24,1327, La notion de harcèlement est floue
209, Dieu existe-t-il ?,0,2121,
210, Faut-il instaurer un revenu de base ?,9,389, D'autres revendications sont à préférer à celle d'un revenu de base
211, La classe ouvrière est-elle la seule classe révolutionnaire ?,21,1939,Les ouvriers ne cherchent qu'à consommer
212, La classe ouvrière est-elle la seule classe révolutionnaire ?,21,2374,La classe ouvrière inclut une partie des travailleurs des services
213, L'Europe occidentale est-elle en déclin ?,19,2300,Certaines élections sont indirectes
214, La classe ouvrière est-elle la seule classe révolutionnaire ?,21,1426, Le lumpenprolétariat est trop lâche et vénal pour mener la révolution sans la trahir
215, Peut-on changer le monde sans prendre le pouvoir ?,39,344, On peut changer le monde en s'engageant ou soutenant des oeuvres caritatives
216, Faut-il légaliser le cannabis ?,11,1637," Si le cannabis est légalisé avec des restrictions (interdiction des produits fortement dosés en THC, fichage des consommateurs...), certains consommateurs continueront à se fournir au marché noir"
217, Dieu existe-t-il ?,0,2047,
218, La liberté d'expression doit-elle être limitée ?,24,1122, Certaines idéologies causent des comportements violents
219, Faut-il accueillir davantage de migrants ?,3,2275,Le réchauffement climatique va entrainer de grandes migrations
220, Lénine est-il le précurseur de Staline ?,28,1352," La terreur blanche, occultée dans ce dossier, a largement précédé la terreur rouge"
221, Le Front national est-il un parti fasciste ?,29,1013, Marine Le Pen entretient des relations avec d'anciens néonazis
222, La classe ouvrière est-elle la seule classe révolutionnaire ?,21,1689, La prolétarisation du travail intellectuel repose sur l'aliénation du travail intellectuel
223, Dieu existe-t-il ?,0,2000,
224, Faut-il accueillir davantage de migrants ?,3,1085, Une des bases de l'éthique c'est d'accueillir l'étranger
225, Les footballeurs professionnels sont-ils trop payés ?,36,2475,Recrutement trop jeune pour permettre de longues études
226, Pour ou contre le capitalisme ?,40,1419, Le communisme n'est pas l'unique alternative au capitalisme
227, L'Europe occidentale est-elle en déclin ?,19,250, Les citoyens français ne sont pas assez consultés
228, La classe ouvrière est-elle la seule classe révolutionnaire ?,21,1480, Les étudiants ont la capacité de fournir des études factuelles utiles aux travailleurs et aux organisations ouvrières dans leurs argumentations
229, Peut-on changer le monde sans prendre le pouvoir ?,39,346, Prendre le pouvoir est bien plus efficace que les actions individuelles
230, La classe ouvrière est-elle la seule classe révolutionnaire ?,21,2316,Les syndicats et partis ouvriers ont perdu leurs adhérents et leurs militants
231, La classe ouvrière est-elle la seule classe révolutionnaire ?,21,1752," Durant la présidence de François Mitterrand, les directions syndicales n'ont pas cherché à mener pleinement le combat contre les fermetures d'usines et les licenciements"
232, Faut-il instaurer un revenu de base ?,9,1729, Les expérimentations faites autour du revenu de base sont toutes biaisées
233, La classe ouvrière est-elle la seule classe révolutionnaire ?,21,1728, Les directions syndicales ont tout fait pour lutter contre la vague révolutionnaire déclenchée par la Révolution russe
234, Le nucléaire est-il une énergie d'avenir ?,33,2524,Peu participer à la prolifération des armes nucléaires
235, Faut-il préserver les Murs à pêches de Montreuil ?,13,1088, Une partie des Murs à pêches de Montreuil a déjà été classée « Sites et paysages »
236, Lénine est-il le précurseur de Staline ?,28,688, Lénine a manipulé les statistiques officielles
237, Pour ou contre le projet de loi Collomb Asile et immigration ?,42,136, La loi Collomb Asile et immigration favorise l'attractivité et l'accueil des talents et compétences
238, Faut-il privatiser ADP ?,14,645, La privatisation d'ADP serait une mauvaise affaire pour l'Etat parce que la privatisation des autoroutes n'a pas été une bonne affaire
239, La gauche doit-elle défendre le port du voile islamique ?,23,2366,Des femmes sont voilées et épanouies
240, La liberté d'expression doit-elle être limitée ?,24,1161, Il est dangereux de laisser les théories scientifiques hors de la morale
241, La gauche doit-elle défendre le port du voile islamique ?,23,1093, Accuser de racisme les opposants au voile islamique est un piège
242, Faut-il légaliser le cannabis ?,11,167, La prohibition du cannabis est préjudiciable aux usagers
243, La classe ouvrière est-elle la seule classe révolutionnaire ?,21,1175, Il existe encore en France de grandes concentrations de travailleurs sur des sites non industriels
244, Faut-il accueillir davantage de migrants ?,3,502," Il y a toujours des peurs autour de l'immigré, qui in fine s'intègre normalement"
245, Faut-il accueillir davantage de migrants ?,3,1125, Ce sont les patrons qui profitent des migrants pour augmenter l'exploitation
246, Faut-il privatiser ADP ?,14,646, La privatisation d'ADP serait une mauvaise affaire pour les compagnies aériennes et les voyageurs parce qu'il y a un risque de dérapage des tarifs
247, Pour ou contre le projet de loi Collomb Asile et immigration ?,42,623, La loi Collomb Asile et immigration étend les motifs de refus de délai de départ volontaire à de nouveaux cas
248, Dieu existe-t-il ? (nouvelle version),1,1513, Les expériences mystiques n'arrivent qu'aux personnes de culture religieuse
249, Lénine est-il le précurseur de Staline ?,28,754, Le parti bolchévik avait sa milice privée
250, Faut-il instaurer un revenu de base ?,9,1409, Le chômage n'est pas une loi naturelle
251, La religion est-elle compatible avec le marxisme ?,27,922, Les religions oppriment les peuples
252, Lénine est-il le précurseur de Staline ?,28,1126," Ces régimes communistes ne furent pas les seuls loin de là, alors même que deux d'entre eux ne l'ont pas pratiquée"
253, La classe ouvrière est-elle la seule classe révolutionnaire ?,21,2219,La classe ouvrière accumule avant tout des défaites
254, Lénine est-il le précurseur de Staline ?,28,1691, La révolte de Kronstadt avait un caractère contre-révolutionnaire
255, Les religions se rejoignent-elles ?,38,286, Les religions reflètent la même tradition primordiale
256, Lénine est-il le précurseur de Staline ?,28,1390, Lénine considère tous les bourgeois comme coupables
257, La religion est-elle compatible avec le marxisme ?,27,1890,Les religions sont avant tout un ensemble de pratiques culturelles
258, Dieu existe-t-il ?,0,2050,
259, Faut-il arrêter de manger des animaux ?,4,961, Le végétarianisme et le végétalisme sont meilleurs pour la santé
260, Faut-il légaliser le cannabis ?,11,545, L'interdiction du cannabis peut être contournée
261, Dieu existe-t-il ? (nouvelle version),1,550, L'ordre et la complexité du monde s'expliquent par la science
262, La liberté d'expression doit-elle être limitée ?,24,1496, Les contenus influencent les spectateurs
263, Peut-on changer le monde sans prendre le pouvoir ?,39,39, Peut-on changer le monde sans prendre le pouvoir ?
264, Dieu existe-t-il ? (nouvelle version),1,825, Les expériences mystiques attestent la présence de Dieu
265, La classe ouvrière est-elle la seule classe révolutionnaire ?,21,1669," À la sortie de la Deuxième Guerre mondiale, les syndicats ont contribué à la perpétuation du capitalisme en France"
266, Les hommes doivent-ils rejoindre le combat féministe ?,37,1863,Les hommes sont socialisés pour déshumaniser les femmes
267, La liberté d'expression doit-elle être limitée ?,24,616, La liberté d'expression doit être totale pour ne pas favoriser l'hypocrisie et l'autocensure
268, Les hommes doivent-ils rejoindre le combat féministe ?,37,2477,Les hommes ne sont pas capables d'agir par devoir
269, La liberté d'expression doit-elle être limitée ?,24,1347, La recherche scientifique n'est pas libre
270, La liberté d'expression doit-elle être totale ?,25,1504, Les discours préparent et inspirent les actes
271, Les religions se rejoignent-elles ?,38,415, Dieu délivre la vérité à tous les peuples
272, Faut-il légaliser le cannabis ?,11,1102," Autant on peut boire de l'alcool sans être saoul, autant le but de fumer du cannabis est de planer"
273, La liberté d'expression doit-elle être limitée ?,24,2270,Le droit de manifestation est un droit fondamental pour tous
274, Dieu existe-t-il ?,0,2002,
